"cluster","tf","method","n_obs","n_pred","oob_r2","cv_r2","lodo_r2","null_metric","null_q95","p_perm","beats_null","imp_stability_spearman","imp_top5_jaccard","dataset"
"PP_cell","ONECUT1","lm",276,36,NA,0.25877979077091,NA,"cv_r2",NA,NA,NA,NA,NA,"cz_hpap_t1d_islets"
"PP_cell","ONECUT1","ridge",276,36,NA,0.340194290855237,NA,"cv_r2",NA,NA,NA,NA,NA,"cz_hpap_t1d_islets"
"PP_cell","ONECUT1","spearman",276,36,NA,0.262611306282869,NA,"cv_r2",NA,NA,NA,NA,NA,"cz_hpap_t1d_islets"
"PP_cell","HES2","rf",276,36,0.514174779779992,0.439868498970843,NA,"oob_r2",-0.064711737831358,0.0196078431372549,TRUE,0.826969826969827,0.874074074074074,"cz_hpap_t1d_islets"
"PP_cell","HES2","lm",276,36,NA,0.39707594118234,NA,"cv_r2",NA,NA,NA,NA,NA,"cz_hpap_t1d_islets"
"PP_cell","HES2","ridge",276,36,NA,0.43541289307138,NA,"cv_r2",NA,NA,NA,NA,NA,"cz_hpap_t1d_islets"
"PP_cell","HES2","spearman",276,36,NA,0.34632737635192,NA,"cv_r2",NA,NA,NA,NA,NA,"cz_hpap_t1d_islets"
"PP_cell","TCF7","rf",276,36,0.4816063976626,0.390493300736707,NA,"oob_r2",-0.093268844417776,0.0196078431372549,TRUE,0.85021593021593,0.82962962962963,"cz_hpap_t1d_islets"
"PP_cell","TCF7","lm",276,36,NA,0.251410445022399,NA,"cv_r2",NA,NA,NA,NA,NA,"cz_hpap_t1d_islets"
"PP_cell","TCF7","ridge",276,36,NA,0.312788237275105,NA,"cv_r2",NA,NA,NA,NA,NA,"cz_hpap_t1d_islets"
"PP_cell","TCF7","spearman",276,36,NA,0.154960514583653,NA,"cv_r2",NA,NA,NA,NA,NA,"cz_hpap_t1d_islets"
"PP_cell","ARNT","rf",276,36,0.486959603031106,0.44192587846304,NA,"oob_r2",-0.088474239159599,0.0196078431372549,TRUE,0.851142571142571,0.881481481481481,"cz_hpap_t1d_islets"
"PP_cell","ARNT","lm",276,36,NA,0.330215834556848,NA,"cv_r2",NA,NA,NA,NA,NA,"cz_hpap_t1d_islets"
"PP_cell","ARNT","ridge",276,36,NA,0.379665749421375,NA,"cv_r2",NA,NA,NA,NA,NA,"cz_hpap_t1d_islets"
"PP_cell","ARNT","spearman",276,36,NA,0.328868250127796,NA,"cv_r2",NA,NA,NA,NA,NA,"cz_hpap_t1d_islets"
"PP_cell","JUN","rf",276,36,0.513028500580973,0.420119982360134,NA,"oob_r2",-0.0696543962508207,0.0196078431372549,TRUE,0.875984555984556,0.881481481481482,"cz_hpap_t1d_islets"
"PP_cell","JUN","lm",276,36,NA,0.310982404375308,NA,"cv_r2",NA,NA,NA,NA,NA,"cz_hpap_t1d_islets"
"PP_cell","JUN","ridge",276,36,NA,0.365001788598359,NA,"cv_r2",NA,NA,NA,NA,NA,"cz_hpap_t1d_islets"
"PP_cell","JUN","spearman",276,36,NA,0.251727851774313,NA,"cv_r2",NA,NA,NA,NA,NA,"cz_hpap_t1d_islets"
"PP_cell","ID3","rf",276,36,0.465152772182773,0.415923612258227,NA,"oob_r2",-0.0945937835132423,0.0196078431372549,TRUE,0.929260689260689,0.757671957671958,"cz_hpap_t1d_islets"
"PP_cell","ID3","lm",276,36,NA,0.154857546557521,NA,"cv_r2",NA,NA,NA,NA,NA,"cz_hpap_t1d_islets"
"PP_cell","ID3","ridge",276,36,NA,0.249253811767762,NA,"cv_r2",NA,NA,NA,NA,NA,"cz_hpap_t1d_islets"
"PP_cell","ID3","spearman",276,36,NA,0.171830125094673,NA,"cv_r2",NA,NA,NA,NA,NA,"cz_hpap_t1d_islets"
"PP_cell","ZNF554","rf",276,36,0.527880817051371,0.478455826453284,NA,"oob_r2",-0.0558894266222951,0.0196078431372549,TRUE,0.897434577434578,0.701587301587302,"cz_hpap_t1d_islets"
"PP_cell","ZNF554","lm",276,36,NA,0.363598813912016,NA,"cv_r2",NA,NA,NA,NA,NA,"cz_hpap_t1d_islets"
"PP_cell","ZNF554","ridge",276,36,NA,0.421820901056997,NA,"cv_r2",NA,NA,NA,NA,NA,"cz_hpap_t1d_islets"
"PP_cell","ZNF554","spearman",276,36,NA,0.26474152694695,NA,"cv_r2",NA,NA,NA,NA,NA,"cz_hpap_t1d_islets"
"PP_cell","ZNF354A","rf",276,36,0.51117525522498,0.412928056168349,NA,"oob_r2",-0.0943537654367309,0.0196078431372549,TRUE,0.866803946803947,0.634920634920635,"cz_hpap_t1d_islets"
"PP_cell","ZNF354A","lm",276,36,NA,0.230022261005372,NA,"cv_r2",NA,NA,NA,NA,NA,"cz_hpap_t1d_islets"
