"dataset","n_values","n_negative","pct_negative","median_abs_negative","median_positive","negative_mass_pct","n_negative_in_top5"
"Vaccination",50253,1784,3.6,0.00094,0.026,0.1,0
"Severity",53131,2666,5,0.0015,0.027,0.1,0
