comparison,dataset_label,cell_type,condition,donor_column,n_donors,n_cells,n_cells_input_to_metacells,n_metacells,n_candidate_lr_pairs,n_lr_pairs_diff_potential,n_retained_tfs,n_predicted_interactions,n_unique_predicted_lr,k,min_meta_cells,condition_column_sc,expected_metacells_per_arm,metacell_rule_ok
cz_human_kidney_v1.5,Chronic kidney disease vs healthy kidney (Lake et al. [38]),natural_killer_cell,case,donor_id,26,698,698,127,424,92,117,41,41,2,100,condition_original,127,TRUE
cz_human_kidney_v1.5,Chronic kidney disease vs healthy kidney (Lake et al. [38]),natural_killer_cell,control,donor_id,24,381,381,127,424,92,117,41,41,2,100,condition_original,127,TRUE
cz_human_kidney_v1.5,Chronic kidney disease vs healthy kidney (Lake et al. [38]),kidney_distal_convoluted_tubule_epithelial_cell,case,donor_id,33,5031,3600,600,641,298,102,127,127,2,100,condition_original,600,TRUE
cz_human_kidney_v1.5,Chronic kidney disease vs healthy kidney (Lake et al. [38]),kidney_distal_convoluted_tubule_epithelial_cell,control,donor_id,21,2826,2826,600,641,298,102,127,127,2,100,condition_original,600,TRUE
cz_human_kidney_v1.5,Chronic kidney disease vs healthy kidney (Lake et al. [38]),kidney_connecting_tubule_epithelial_cell,case,donor_id,18,1983,1983,544,725,320,80,130,130,2,100,condition_original,544,TRUE
cz_human_kidney_v1.5,Chronic kidney disease vs healthy kidney (Lake et al. [38]),kidney_connecting_tubule_epithelial_cell,control,donor_id,20,1632,1632,544,725,320,80,130,130,2,100,condition_original,544,TRUE
cz_influenza,"Influenza vs healthy, PBMCs (Lee et al. [35])",effector_CD4_minus_positive_comma_alpha_minus_beta_T_cell,case,donor_id,5,383,383,191,232,93,123,51,51,1,100,condition_original,191,TRUE
cz_influenza,"Influenza vs healthy, PBMCs (Lee et al. [35])",effector_CD4_minus_positive_comma_alpha_minus_beta_T_cell,control,donor_id,4,1321,1321,191,232,93,123,51,51,1,100,condition_original,191,TRUE
cz_influenza,"Influenza vs healthy, PBMCs (Lee et al. [35])",CD8_minus_positive_comma_alpha_minus_beta_T_cell,case,donor_id,5,1452,1452,600,229,151,111,80,80,1,100,condition_original,600,TRUE
cz_influenza,"Influenza vs healthy, PBMCs (Lee et al. [35])",CD8_minus_positive_comma_alpha_minus_beta_T_cell,control,donor_id,4,2148,2148,600,229,151,111,80,80,1,100,condition_original,600,TRUE
cz_influenza,"Influenza vs healthy, PBMCs (Lee et al. [35])",classical_monocyte,case,donor_id,5,5296,2400,600,309,174,101,95,95,1,100,condition_original,600,TRUE
cz_influenza,"Influenza vs healthy, PBMCs (Lee et al. [35])",classical_monocyte,control,donor_id,4,4292,2400,600,309,174,101,95,95,1,100,condition_original,600,TRUE
cz_influenza,"Influenza vs healthy, PBMCs (Lee et al. [35])",natural_killer_cell,case,donor_id,5,1449,1449,600,220,106,116,61,61,1,100,condition_original,600,TRUE
cz_influenza,"Influenza vs healthy, PBMCs (Lee et al. [35])",natural_killer_cell,control,donor_id,4,3915,2400,600,220,106,116,61,61,1,100,condition_original,600,TRUE
cz_influenza,"Influenza vs healthy, PBMCs (Lee et al. [35])",IgG_minus_negative_class_switched_memory_B_cell,case,donor_id,5,322,322,161,149,39,80,19,19,1,100,condition_original,161,TRUE
cz_influenza,"Influenza vs healthy, PBMCs (Lee et al. [35])",IgG_minus_negative_class_switched_memory_B_cell,control,donor_id,4,1285,1285,161,149,39,80,19,19,1,100,condition_original,161,TRUE
cz_influenza,"Influenza vs healthy, PBMCs (Lee et al. [35])",effector_CD8_minus_positive_comma_alpha_minus_beta_T_cell,case,donor_id,5,300,300,150,240,98,123,54,54,1,100,condition_original,150,TRUE
cz_influenza,"Influenza vs healthy, PBMCs (Lee et al. [35])",effector_CD8_minus_positive_comma_alpha_minus_beta_T_cell,control,donor_id,4,1067,1067,150,240,98,123,54,54,1,100,condition_original,150,TRUE
cz_influenza,"Influenza vs healthy, PBMCs (Lee et al. [35])",blood_cell,case,donor_id,5,216,216,108,337,84,52,48,48,1,100,condition_original,108,TRUE
cz_influenza,"Influenza vs healthy, PBMCs (Lee et al. [35])",blood_cell,control,donor_id,4,309,309,108,337,84,52,48,48,1,100,condition_original,108,TRUE
cz_influenza,"Influenza vs healthy, PBMCs (Lee et al. [35])",non_minus_classical_monocyte,case,donor_id,5,211,211,105,298,107,71,54,54,1,100,condition_original,105,TRUE
cz_influenza,"Influenza vs healthy, PBMCs (Lee et al. [35])",non_minus_classical_monocyte,control,donor_id,4,897,897,105,298,107,71,54,54,1,100,condition_original,105,TRUE
ERP,"Breast cancer ICB, ER+ (Bassez et al. [46])",Fibroblast,case,patient_id,3,796,796,398,621,181,54,76,76,1,100,condition_original,398,TRUE
ERP,"Breast cancer ICB, ER+ (Bassez et al. [46])",Fibroblast,control,patient_id,12,8948,2400,398,621,181,54,76,76,1,100,condition_original,398,TRUE
ERP,"Breast cancer ICB, ER+ (Bassez et al. [46])",T_cell,case,patient_id,3,5183,2400,600,327,77,72,33,33,1,100,condition_original,600,TRUE
ERP,"Breast cancer ICB, ER+ (Bassez et al. [46])",T_cell,control,patient_id,12,4791,2400,600,327,77,72,33,33,1,100,condition_original,600,TRUE
ERP,"Breast cancer ICB, ER+ (Bassez et al. [46])",Endothelial_cell,case,patient_id,3,594,594,297,532,137,78,59,59,1,100,condition_original,297,TRUE
ERP,"Breast cancer ICB, ER+ (Bassez et al. [46])",Endothelial_cell,control,patient_id,12,1278,1278,297,532,137,78,59,59,1,100,condition_original,297,TRUE
ERP,"Breast cancer ICB, ER+ (Bassez et al. [46])",Cancer_cell,case,patient_id,3,639,639,319,580,157,58,72,72,1,100,condition_original,319,TRUE
ERP,"Breast cancer ICB, ER+ (Bassez et al. [46])",Cancer_cell,control,patient_id,12,11269,2400,319,580,157,58,72,72,1,100,condition_original,319,TRUE
ERP,"Breast cancer ICB, ER+ (Bassez et al. [46])",Myeloid_cell,case,patient_id,3,590,590,295,540,114,54,55,55,1,100,condition_original,295,TRUE
ERP,"Breast cancer ICB, ER+ (Bassez et al. [46])",Myeloid_cell,control,patient_id,12,2542,2400,295,540,114,54,55,55,1,100,condition_original,295,TRUE
ERP,"Breast cancer ICB, ER+ (Bassez et al. [46])",B_cell,case,patient_id,3,953,953,476,279,106,26,44,44,1,100,condition_original,476,TRUE
ERP,"Breast cancer ICB, ER+ (Bassez et al. [46])",B_cell,control,patient_id,12,1263,1263,476,279,106,26,44,44,1,100,condition_original,476,TRUE
lupus,"Systemic lupus erythematosus vs healthy, PBMCs (Perez et al. [40])",CD4_minus_positive_comma_alpha_minus_beta_T_cell,case,donor_id,26,32085,3600,600,73,34,60,15,15,2,100,condition_original,600,TRUE
lupus,"Systemic lupus erythematosus vs healthy, PBMCs (Perez et al. [40])",CD4_minus_positive_comma_alpha_minus_beta_T_cell,control,donor_id,22,30919,3600,600,73,34,60,15,15,2,100,condition_original,600,TRUE
lupus,"Systemic lupus erythematosus vs healthy, PBMCs (Perez et al. [40])",classical_monocyte,case,donor_id,26,29990,3600,600,136,44,73,29,29,2,100,condition_original,600,TRUE
lupus,"Systemic lupus erythematosus vs healthy, PBMCs (Perez et al. [40])",classical_monocyte,control,donor_id,22,12510,3600,600,136,44,73,29,29,2,100,condition_original,600,TRUE
lupus,"Systemic lupus erythematosus vs healthy, PBMCs (Perez et al. [40])",natural_killer_cell,case,donor_id,26,7772,3600,600,101,42,70,21,21,2,100,condition_original,600,TRUE
lupus,"Systemic lupus erythematosus vs healthy, PBMCs (Perez et al. [40])",natural_killer_cell,control,donor_id,22,4826,3600,600,101,42,70,21,21,2,100,condition_original,600,TRUE
lupus,"Systemic lupus erythematosus vs healthy, PBMCs (Perez et al. [40])",non_minus_classical_monocyte,case,donor_id,26,4346,3600,600,133,61,111,36,36,2,100,condition_original,600,TRUE
lupus,"Systemic lupus erythematosus vs healthy, PBMCs (Perez et al. [40])",non_minus_classical_monocyte,control,donor_id,22,1869,1869,600,133,61,111,36,36,2,100,condition_original,600,TRUE
lupus,"Systemic lupus erythematosus vs healthy, PBMCs (Perez et al. [40])",CD8_minus_positive_comma_alpha_minus_beta_T_cell,case,donor_id,26,24458,3600,600,73,21,73,17,17,2,100,condition_original,600,TRUE
lupus,"Systemic lupus erythematosus vs healthy, PBMCs (Perez et al. [40])",CD8_minus_positive_comma_alpha_minus_beta_T_cell,control,donor_id,22,12696,3600,600,73,21,73,17,17,2,100,condition_original,600,TRUE
lupus,"Systemic lupus erythematosus vs healthy, PBMCs (Perez et al. [40])",B_cell,case,donor_id,26,11899,3600,600,64,10,51,10,10,2,100,condition_original,600,TRUE
lupus,"Systemic lupus erythematosus vs healthy, PBMCs (Perez et al. [40])",B_cell,control,donor_id,22,8221,3600,600,64,10,51,10,10,2,100,condition_original,600,TRUE
lupus,"Systemic lupus erythematosus vs healthy, PBMCs (Perez et al. [40])",conventional_dendritic_cell,case,donor_id,26,1246,1246,313,144,23,44,20,20,2,100,condition_original,313,TRUE
lupus,"Systemic lupus erythematosus vs healthy, PBMCs (Perez et al. [40])",conventional_dendritic_cell,control,donor_id,22,940,940,313,144,23,44,20,20,2,100,condition_original,313,TRUE
MilCOVID_Azimuthl2,"Mild COVID-19 vs healthy, PBMCs (Arunachalam et al. [43])",pDC,case,sample_id,3,392,392,196,280,70,63,41,41,1,100,condition_original,196,TRUE
MilCOVID_Azimuthl2,"Mild COVID-19 vs healthy, PBMCs (Arunachalam et al. [43])",pDC,control,sample_id,5,1163,1163,196,280,70,63,41,41,1,100,condition_original,196,TRUE
MilCOVID_Azimuthl2,"Mild COVID-19 vs healthy, PBMCs (Arunachalam et al. [43])",cDC2,case,sample_id,3,641,641,320,373,159,88,88,88,1,100,condition_original,320,TRUE
MilCOVID_Azimuthl2,"Mild COVID-19 vs healthy, PBMCs (Arunachalam et al. [43])",cDC2,control,sample_id,5,2134,2134,320,373,159,88,88,88,1,100,condition_original,320,TRUE
MilCOVID_Azimuthl2,"Mild COVID-19 vs healthy, PBMCs (Arunachalam et al. [43])",CD8_TEM,case,sample_id,3,1347,1347,600,238,89,84,46,46,1,100,condition_original,600,TRUE
MilCOVID_Azimuthl2,"Mild COVID-19 vs healthy, PBMCs (Arunachalam et al. [43])",CD8_TEM,control,sample_id,5,2426,2400,600,238,89,84,46,46,1,100,condition_original,600,TRUE
MilCOVID_Azimuthl2,"Mild COVID-19 vs healthy, PBMCs (Arunachalam et al. [43])",CD4_TCM,case,sample_id,3,2330,2330,600,193,80,38,40,40,1,100,condition_original,600,TRUE
MilCOVID_Azimuthl2,"Mild COVID-19 vs healthy, PBMCs (Arunachalam et al. [43])",CD4_TCM,control,sample_id,5,5438,2400,600,193,80,38,40,40,1,100,condition_original,600,TRUE
MilCOVID_Azimuthl2,"Mild COVID-19 vs healthy, PBMCs (Arunachalam et al. [43])",NK,case,sample_id,3,861,861,430,250,106,95,57,57,1,100,condition_original,430,TRUE
MilCOVID_Azimuthl2,"Mild COVID-19 vs healthy, PBMCs (Arunachalam et al. [43])",NK,control,sample_id,5,5071,2400,430,250,106,95,57,57,1,100,condition_original,430,TRUE
MilCOVID_Azimuthl2,"Mild COVID-19 vs healthy, PBMCs (Arunachalam et al. [43])",CD4_CTL,case,sample_id,3,223,223,111,242,52,110,24,24,1,100,condition_original,111,TRUE
MilCOVID_Azimuthl2,"Mild COVID-19 vs healthy, PBMCs (Arunachalam et al. [43])",CD4_CTL,control,sample_id,5,264,264,111,242,52,110,24,24,1,100,condition_original,111,TRUE
MilCOVID_Azimuthl2,"Mild COVID-19 vs healthy, PBMCs (Arunachalam et al. [43])",CD14_Mono,case,sample_id,3,981,981,490,363,190,84,103,103,1,100,condition_original,490,TRUE
MilCOVID_Azimuthl2,"Mild COVID-19 vs healthy, PBMCs (Arunachalam et al. [43])",CD14_Mono,control,sample_id,5,5379,2400,490,363,190,84,103,103,1,100,condition_original,490,TRUE
MilCOVID_Azimuthl2,"Mild COVID-19 vs healthy, PBMCs (Arunachalam et al. [43])",B_naive,case,sample_id,3,758,758,157,288,118,83,58,58,1,100,condition_original,157,TRUE
MilCOVID_Azimuthl2,"Mild COVID-19 vs healthy, PBMCs (Arunachalam et al. [43])",B_naive,control,sample_id,5,314,314,157,288,118,83,58,58,1,100,condition_original,157,TRUE
MilCOVID_Azimuthl2,"Mild COVID-19 vs healthy, PBMCs (Arunachalam et al. [43])",B_intermediate,case,sample_id,3,215,215,107,276,50,85,29,29,1,100,condition_original,107,TRUE
MilCOVID_Azimuthl2,"Mild COVID-19 vs healthy, PBMCs (Arunachalam et al. [43])",B_intermediate,control,sample_id,5,622,622,107,276,50,85,29,29,1,100,condition_original,107,TRUE
MilCOVID_Azimuthl2,"Mild COVID-19 vs healthy, PBMCs (Arunachalam et al. [43])",CD16_Mono,case,sample_id,3,307,307,153,356,113,103,52,52,1,100,condition_original,153,TRUE
MilCOVID_Azimuthl2,"Mild COVID-19 vs healthy, PBMCs (Arunachalam et al. [43])",CD16_Mono,control,sample_id,5,3112,2400,153,356,113,103,52,52,1,100,condition_original,153,TRUE
sepsis,"Sepsis vs non-septic ICU, PBMCs (Reyes et al. [44])",T_TS1,case,donor_id,8,1603,1603,209,195,53,35,31,31,3,100,condition_original,209,TRUE
sepsis,"Sepsis vs non-septic ICU, PBMCs (Reyes et al. [44])",T_TS1,control,donor_id,7,838,838,209,195,53,35,31,31,3,100,condition_original,209,TRUE
sepsis,"Sepsis vs non-septic ICU, PBMCs (Reyes et al. [44])",Mono_MS3,case,donor_id,8,970,970,242,235,94,91,53,53,3,100,condition_original,242,TRUE
sepsis,"Sepsis vs non-septic ICU, PBMCs (Reyes et al. [44])",Mono_MS3,control,donor_id,7,978,978,242,235,94,91,53,53,3,100,condition_original,242,TRUE
sepsis,"Sepsis vs non-septic ICU, PBMCs (Reyes et al. [44])",T_TS2,case,donor_id,8,597,597,149,183,22,20,14,14,3,100,condition_original,149,TRUE
sepsis,"Sepsis vs non-septic ICU, PBMCs (Reyes et al. [44])",T_TS2,control,donor_id,7,652,652,149,183,22,20,14,14,3,100,condition_original,149,TRUE
sepsis,"Sepsis vs non-septic ICU, PBMCs (Reyes et al. [44])",NK_NS1,case,donor_id,8,460,460,115,239,26,58,17,17,3,100,condition_original,115,TRUE
sepsis,"Sepsis vs non-septic ICU, PBMCs (Reyes et al. [44])",NK_NS1,control,donor_id,7,651,651,115,239,26,58,17,17,3,100,condition_original,115,TRUE
sepsis,"Sepsis vs non-septic ICU, PBMCs (Reyes et al. [44])",Mono_MS1,case,donor_id,8,2153,2153,360,239,73,70,43,43,3,100,condition_original,360,TRUE
sepsis,"Sepsis vs non-septic ICU, PBMCs (Reyes et al. [44])",Mono_MS1,control,donor_id,7,1441,1441,360,239,73,70,43,43,3,100,condition_original,360,TRUE
sepsis,"Sepsis vs non-septic ICU, PBMCs (Reyes et al. [44])",Mono_MS2,case,donor_id,8,854,854,213,246,55,79,37,37,3,100,condition_original,213,TRUE
sepsis,"Sepsis vs non-septic ICU, PBMCs (Reyes et al. [44])",Mono_MS2,control,donor_id,7,1223,1223,213,246,55,79,37,37,3,100,condition_original,213,TRUE
sepsis,"Sepsis vs non-septic ICU, PBMCs (Reyes et al. [44])",Mono_MS4,case,donor_id,8,616,616,154,211,23,65,15,15,3,100,condition_original,154,TRUE
sepsis,"Sepsis vs non-septic ICU, PBMCs (Reyes et al. [44])",Mono_MS4,control,donor_id,7,1040,1040,154,211,23,65,15,15,3,100,condition_original,154,TRUE
sepsis,"Sepsis vs non-septic ICU, PBMCs (Reyes et al. [44])",Megakaryocyte_MK,case,donor_id,8,851,851,121,237,31,54,19,19,3,100,condition_original,121,TRUE
sepsis,"Sepsis vs non-septic ICU, PBMCs (Reyes et al. [44])",Megakaryocyte_MK,control,donor_id,7,486,486,121,237,31,54,19,19,3,100,condition_original,121,TRUE
SevCOVID_Azimuthl2,"Severe COVID-19 vs healthy, PBMCs (Arunachalam et al. [43])",NK,case,sample_id,4,1133,1133,566,260,145,97,74,74,1,100,condition_original,566,TRUE
SevCOVID_Azimuthl2,"Severe COVID-19 vs healthy, PBMCs (Arunachalam et al. [43])",NK,control,sample_id,5,5071,2400,566,260,145,97,74,74,1,100,condition_original,566,TRUE
SevCOVID_Azimuthl2,"Severe COVID-19 vs healthy, PBMCs (Arunachalam et al. [43])",B_naive,case,sample_id,4,735,735,157,286,100,61,50,50,1,100,condition_original,157,TRUE
SevCOVID_Azimuthl2,"Severe COVID-19 vs healthy, PBMCs (Arunachalam et al. [43])",B_naive,control,sample_id,5,314,314,157,286,100,61,50,50,1,100,condition_original,157,TRUE
SevCOVID_Azimuthl2,"Severe COVID-19 vs healthy, PBMCs (Arunachalam et al. [43])",cDC2,case,sample_id,4,398,398,199,400,154,80,79,79,1,100,condition_original,199,TRUE
SevCOVID_Azimuthl2,"Severe COVID-19 vs healthy, PBMCs (Arunachalam et al. [43])",cDC2,control,sample_id,5,2134,2134,199,400,154,80,79,79,1,100,condition_original,199,TRUE
SevCOVID_Azimuthl2,"Severe COVID-19 vs healthy, PBMCs (Arunachalam et al. [43])",HSPC,case,sample_id,4,334,334,117,369,76,93,38,38,1,100,condition_original,117,TRUE
SevCOVID_Azimuthl2,"Severe COVID-19 vs healthy, PBMCs (Arunachalam et al. [43])",HSPC,control,sample_id,5,235,235,117,369,76,93,38,38,1,100,condition_original,117,TRUE
SevCOVID_Azimuthl2,"Severe COVID-19 vs healthy, PBMCs (Arunachalam et al. [43])",CD4_TCM,case,sample_id,4,1424,1424,600,199,91,19,46,46,1,100,condition_original,600,TRUE
SevCOVID_Azimuthl2,"Severe COVID-19 vs healthy, PBMCs (Arunachalam et al. [43])",CD4_TCM,control,sample_id,5,5438,2400,600,199,91,19,46,46,1,100,condition_original,600,TRUE
SevCOVID_Azimuthl2,"Severe COVID-19 vs healthy, PBMCs (Arunachalam et al. [43])",CD8_TEM,case,sample_id,4,521,521,260,249,73,81,37,37,1,100,condition_original,260,TRUE
SevCOVID_Azimuthl2,"Severe COVID-19 vs healthy, PBMCs (Arunachalam et al. [43])",CD8_TEM,control,sample_id,5,2426,2400,260,249,73,81,37,37,1,100,condition_original,260,TRUE
SevCOVID_Azimuthl2,"Severe COVID-19 vs healthy, PBMCs (Arunachalam et al. [43])",CD14_Mono,case,sample_id,4,3009,2400,600,392,248,105,116,116,1,100,condition_original,600,TRUE
SevCOVID_Azimuthl2,"Severe COVID-19 vs healthy, PBMCs (Arunachalam et al. [43])",CD14_Mono,control,sample_id,5,5379,2400,600,392,248,105,116,116,1,100,condition_original,600,TRUE
SevCOVID_Azimuthl2,"Severe COVID-19 vs healthy, PBMCs (Arunachalam et al. [43])",pDC,case,sample_id,4,734,734,367,286,123,98,65,65,1,100,condition_original,367,TRUE
SevCOVID_Azimuthl2,"Severe COVID-19 vs healthy, PBMCs (Arunachalam et al. [43])",pDC,control,sample_id,5,1163,1163,367,286,123,98,65,65,1,100,condition_original,367,TRUE
SevCOVID_Azimuthl2,"Severe COVID-19 vs healthy, PBMCs (Arunachalam et al. [43])",CD16_Mono,case,sample_id,4,760,760,380,374,182,74,88,88,1,100,condition_original,380,TRUE
SevCOVID_Azimuthl2,"Severe COVID-19 vs healthy, PBMCs (Arunachalam et al. [43])",CD16_Mono,control,sample_id,5,3112,2400,380,374,182,74,88,88,1,100,condition_original,380,TRUE
SevCOVID_Azimuthl2,"Severe COVID-19 vs healthy, PBMCs (Arunachalam et al. [43])",B_intermediate,case,sample_id,4,450,450,225,285,81,84,49,49,1,100,condition_original,225,TRUE
SevCOVID_Azimuthl2,"Severe COVID-19 vs healthy, PBMCs (Arunachalam et al. [43])",B_intermediate,control,sample_id,5,622,622,225,285,81,84,49,49,1,100,condition_original,225,TRUE
TNBC,"Breast cancer ICB, TNBC (Bassez et al. [46])",T_cell,case,patient_id,5,12589,3600,600,448,249,108,106,106,2,100,condition_original,600,TRUE
TNBC,"Breast cancer ICB, TNBC (Bassez et al. [46])",T_cell,control,patient_id,7,4281,3600,600,448,249,108,106,106,2,100,condition_original,600,TRUE
TNBC,"Breast cancer ICB, TNBC (Bassez et al. [46])",Myeloid_cell,case,patient_id,5,3598,3598,415,614,311,98,137,137,2,100,condition_original,415,TRUE
TNBC,"Breast cancer ICB, TNBC (Bassez et al. [46])",Myeloid_cell,control,patient_id,7,1245,1245,415,614,311,98,137,137,2,100,condition_original,415,TRUE
TNBC,"Breast cancer ICB, TNBC (Bassez et al. [46])",Cancer_cell,case,patient_id,5,3796,3600,600,575,345,75,128,128,2,100,condition_original,600,TRUE
TNBC,"Breast cancer ICB, TNBC (Bassez et al. [46])",Cancer_cell,control,patient_id,7,7522,3600,600,575,345,75,128,128,2,100,condition_original,600,TRUE
TNBC,"Breast cancer ICB, TNBC (Bassez et al. [46])",B_cell,case,patient_id,5,2203,2203,426,405,189,34,86,86,2,100,condition_original,426,TRUE
TNBC,"Breast cancer ICB, TNBC (Bassez et al. [46])",B_cell,control,patient_id,7,1278,1278,426,405,189,34,86,86,2,100,condition_original,426,TRUE
TNBC,"Breast cancer ICB, TNBC (Bassez et al. [46])",Fibroblast,case,patient_id,5,537,537,179,816,207,77,102,102,2,100,condition_original,179,TRUE
TNBC,"Breast cancer ICB, TNBC (Bassez et al. [46])",Fibroblast,control,patient_id,7,1183,1183,179,816,207,77,102,102,2,100,condition_original,179,TRUE
