"cluster","tf","method","n_obs","n_pred","oob_r2","cv_r2","lodo_r2","null_metric","null_q95","p_perm","beats_null","imp_stability_spearman","imp_top5_jaccard"
"pDC","JUNB","rf",270,47,0.798905576061096,0.76258067003341,0.619704727877527,"oob_r2",-0.0642608796053522,0.0196078431372549,TRUE,0.852104532839963,0.696296296296296
"pDC","JUNB","lm",270,47,NA,0.7657134858486,0.655781846673863,"cv_r2",-0.153972464499616,0.0196078431372549,TRUE,NA,NA
"pDC","JUNB","ridge",270,47,NA,0.779084944459503,0.705469712708005,"cv_r2",-0.003378334244041,0.0196078431372549,TRUE,NA,NA
"pDC","JUNB","spearman",270,47,NA,0.182628932036239,0.181489995499246,"cv_r2",-0.0095133060067897,0.0196078431372549,TRUE,NA,NA
"pDC","YY1","rf",270,47,0.529761530827786,0.530528320485991,0.00933625847684572,"oob_r2",-0.0369051066551647,0.0196078431372549,TRUE,0.786429746119848,0.733333333333333
"pDC","YY1","lm",270,47,NA,0.475411713645382,-0.00477009588490951,"cv_r2",-0.140459689985386,0.0196078431372549,TRUE,NA,NA
"pDC","YY1","ridge",270,47,NA,0.501563759123134,0.144708358570026,"cv_r2",0.00382490942124266,0.0196078431372549,TRUE,NA,NA
"pDC","YY1","spearman",270,47,NA,0.316473791193538,0.158683036091693,"cv_r2",0.00445541950866607,0.0196078431372549,TRUE,NA,NA
"pDC","GATA3","rf",270,47,0.729944864968831,0.742055870231321,0.587781734057932,"oob_r2",-0.0300857565679191,0.0196078431372549,TRUE,0.886087984376606,0.711111111111111
"pDC","GATA3","lm",270,47,NA,0.708867483792146,0.573092088452807,"cv_r2",-0.161998861777628,0.0196078431372549,TRUE,NA,NA
"pDC","GATA3","ridge",270,47,NA,0.743731518396914,0.673985010168671,"cv_r2",-0.00194246669703776,0.0196078431372549,TRUE,NA,NA
"pDC","GATA3","spearman",270,47,NA,0.274196236342347,0.179589167831979,"cv_r2",-0.00290849745934792,0.0196078431372549,TRUE,NA,NA
"pDC","CEBPZ","rf",270,47,0.647989127361934,0.630535389777927,0.480862071570045,"oob_r2",-0.0349015320573767,0.0196078431372549,TRUE,0.81618100524206,0.670899470899471
"pDC","CEBPZ","lm",270,47,NA,0.52568352230749,0.309295660153574,"cv_r2",-0.164052368939203,0.0196078431372549,TRUE,NA,NA
"pDC","CEBPZ","ridge",270,47,NA,0.591553023792317,0.475547722546362,"cv_r2",-0.0031995974809277,0.0196078431372549,TRUE,NA,NA
"pDC","CEBPZ","spearman",270,47,NA,0.245444647361111,0.0987125572712938,"cv_r2",0.00788003619315657,0.0196078431372549,TRUE,NA,NA
"pDC","IRF8","rf",270,47,0.746948408584807,0.740541812905078,0.568749565400603,"oob_r2",-0.020168423691222,0.0196078431372549,TRUE,0.829072874910063,0.740740740740741
"pDC","IRF8","lm",270,47,NA,0.732823189181448,0.610184464560496,"cv_r2",-0.172972719173627,0.0196078431372549,TRUE,NA,NA
"pDC","IRF8","ridge",270,47,NA,0.758533787483265,0.699213555450905,"cv_r2",-0.00332154920914779,0.0196078431372549,TRUE,NA,NA
"pDC","IRF8","spearman",270,47,NA,0.426501874217574,0.369357698095496,"cv_r2",-0.000418433454120657,0.0196078431372549,TRUE,NA,NA
"pDC","ZBTB16","rf",270,47,0.549470535260666,0.550704268325396,0.0881654691048627,"oob_r2",-0.0216558148644587,0.0196078431372549,TRUE,0.819267139479905,0.82962962962963
"pDC","ZBTB16","lm",270,47,NA,0.431514820444161,-0.182451935780596,"cv_r2",-0.195730552190513,0.0196078431372549,TRUE,NA,NA
"pDC","ZBTB16","ridge",270,47,NA,0.49139026457659,0.0858606941822515,"cv_r2",-0.00105733785377568,0.0196078431372549,TRUE,NA,NA
"pDC","ZBTB16","spearman",270,47,NA,0.295555418655367,0.0999750858479062,"cv_r2",-0.00382924148134268,0.0196078431372549,TRUE,NA,NA
"pDC","ZFHX3","rf",270,47,0.708841933014148,0.684677540224529,0.558193344191321,"oob_r2",-0.0240001877201066,0.0196078431372549,TRUE,0.864104738410936,0.673015873015873
"pDC","ZFHX3","lm",270,47,NA,0.646912842977207,0.422843909592628,"cv_r2",-0.201714085127883,0.0196078431372549,TRUE,NA,NA
"pDC","ZFHX3","ridge",270,47,NA,0.679762174062296,0.546787490030377,"cv_r2",-0.00341448302593339,0.0196078431372549,TRUE,NA,NA
"pDC","ZFHX3","spearman",270,47,NA,0.347932223770051,0.296842436337892,"cv_r2",0.00190369017182549,0.0196078431372549,TRUE,NA,NA
"pDC","ZBTB18","rf",270,47,0.696752379589711,0.687746094130042,0.450588194734623,"oob_r2",-0.0316825376658851,0.0196078431372549,TRUE,0.77981806968856,0.822222222222222
"pDC","ZBTB18","lm",270,47,NA,0.595018974605116,0.359906266560933,"cv_r2",-0.171798010924009,0.0196078431372549,TRUE,NA,NA
"pDC","ZBTB18","ridge",270,47,NA,0.632942876556553,0.45013218712874,"cv_r2",0.00162403360454373,0.0196078431372549,TRUE,NA,NA
"pDC","ZBTB18","spearman",270,47,NA,0.370558834239918,0.221695824888609,"cv_r2",0.00237676206472194,0.0196078431372549,TRUE,NA,NA
"pDC","MYBL2","rf",270,47,0.724371862495509,0.720931711186138,0.522660808971828,"oob_r2",-0.0395405291569355,0.0196078431372549,TRUE,0.856167129201357,0.650793650793651
"pDC","MYBL2","lm",270,47,NA,0.642397373835791,0.433265738845698,"cv_r2",-0.192369258462282,0.0196078431372549,TRUE,NA,NA
"pDC","MYBL2","ridge",270,47,NA,0.689075902234488,0.562488762803863,"cv_r2",-0.00329982425900874,0.0196078431372549,TRUE,NA,NA
"pDC","MYBL2","spearman",270,47,NA,0.274571657336945,0.161420832747323,"cv_r2",0.00348058903175753,0.0196078431372549,TRUE,NA,NA
"pDC","BCL11B","rf",270,47,0.638061982910741,0.624655877450536,0.283914640741452,"oob_r2",-0.0190875757595513,0.0196078431372549,TRUE,0.793635008736766,0.762962962962963
"pDC","BCL11B","lm",270,47,NA,0.586014016384412,0.279305875082657,"cv_r2",-0.187935255260462,0.0196078431372549,TRUE,NA,NA
"pDC","BCL11B","ridge",270,47,NA,0.636615958257368,0.333946904221305,"cv_r2",-0.00144712451991002,0.0196078431372549,TRUE,NA,NA
"pDC","BCL11B","spearman",270,47,NA,0.385055718205521,-0.0783434169423087,"cv_r2",0.00854613985817999,0.0196078431372549,TRUE,NA,NA
"pDC","SP100","rf",270,47,0.693190838490117,0.688491521012923,0.581251778269801,"oob_r2",-0.0311237701207714,0.0196078431372549,TRUE,0.757572720731833,0.733333333333333
"pDC","SP100","lm",270,47,NA,0.669782554953536,0.496350153423165,"cv_r2",-0.18389863549901,0.0196078431372549,TRUE,NA,NA
"pDC","SP100","ridge",270,47,NA,0.712891957720346,0.607631157959423,"cv_r2",-0.00304470816239773,0.0196078431372549,TRUE,NA,NA
"pDC","SP100","spearman",270,47,NA,0.32831862823268,0.264118370518272,"cv_r2",-0.00434061411756076,0.0196078431372549,TRUE,NA,NA
"pDC","TCF4","rf",270,47,0.729492658697587,0.705815179391363,0.496350067256598,"oob_r2",-0.0195940898459877,0.0196078431372549,TRUE,0.79395621338267,0.762962962962963
"pDC","TCF4","lm",270,47,NA,0.716690360892261,0.448841474827195,"cv_r2",-0.196223947018504,0.0196078431372549,TRUE,NA,NA
"pDC","TCF4","ridge",270,47,NA,0.750425177624967,0.573624196324754,"cv_r2",-0.00293355716292649,0.0196078431372549,TRUE,NA,NA
"pDC","TCF4","spearman",270,47,NA,0.228186963426742,0.130941799891667,"cv_r2",0.0106580497554877,0.0196078431372549,TRUE,NA,NA
"pDC","MYEF2","rf",270,47,0.685597814249147,0.677344845534212,0.411681941811371,"oob_r2",-0.0271147971377876,0.0196078431372549,TRUE,0.77804502004317,0.822222222222222
"pDC","MYEF2","lm",270,47,NA,0.617633003256244,0.472390890865696,"cv_r2",-0.200176939163666,0.0196078431372549,TRUE,NA,NA
"pDC","MYEF2","ridge",270,47,NA,0.685682436570817,0.468651877440519,"cv_r2",-0.004489260070728,0.0196078431372549,TRUE,NA,NA
"pDC","MYEF2","spearman",270,47,NA,0.372128084549113,0.253434284280949,"cv_r2",0.0147965049036139,0.0196078431372549,TRUE,NA,NA
"pDC","CREB5","rf",270,47,0.691143260554185,0.680656928173059,0.5172900442774,"oob_r2",-0.013630810145871,0.0196078431372549,TRUE,0.849301058690513,0.785185185185185
"pDC","CREB5","lm",270,47,NA,0.637178849567984,0.379985892123536,"cv_r2",-0.20836758070054,0.0196078431372549,TRUE,NA,NA
"pDC","CREB5","ridge",270,47,NA,0.6864231493158,0.529786740126935,"cv_r2",-0.00231785913515531,0.0196078431372549,TRUE,NA,NA
"pDC","CREB5","spearman",270,47,NA,0.363731656749557,0.194073919490143,"cv_r2",0.00524538677079211,0.0196078431372549,TRUE,NA,NA
"pDC","NFE2L2","rf",270,47,0.79977000056496,0.787822724132793,0.661737176989199,"oob_r2",-0.0282445529455511,0.0196078431372549,TRUE,0.832169287696577,0.819047619047619
"pDC","NFE2L2","lm",270,47,NA,0.780617867628705,0.655155632582147,"cv_r2",-0.182393903327995,0.0196078431372549,TRUE,NA,NA
"pDC","NFE2L2","ridge",270,47,NA,0.793217580654009,0.722661008573081,"cv_r2",-0.00221729460371056,0.0196078431372549,TRUE,NA,NA
"pDC","NFE2L2","spearman",270,47,NA,0.29707145563313,0.257403367661754,"cv_r2",0.0002414677554384,0.0196078431372549,TRUE,NA,NA
"pDC","IKZF1","rf",270,47,0.787086090351498,0.781249136690102,0.684292723603588,"oob_r2",-0.0340059198174139,0.0196078431372549,TRUE,0.833474663377531,0.726984126984127
"pDC","IKZF1","lm",270,47,NA,0.678589450511616,0.594657285739923,"cv_r2",-0.154343107161727,0.0196078431372549,TRUE,NA,NA
"pDC","IKZF1","ridge",270,47,NA,0.722873037461697,0.666102470759437,"cv_r2",-0.00345154224143642,0.0196078431372549,TRUE,NA,NA
"pDC","IKZF1","spearman",270,47,NA,0.233280694927507,0.203041855570576,"cv_r2",0.0110139009152164,0.0196078431372549,TRUE,NA,NA
"pDC","CUX2","rf",270,47,0.650359312678845,0.654511115684903,0.237996908276888,"oob_r2",-0.0304418635758001,0.0196078431372549,TRUE,0.797232500770891,0.71957671957672
"pDC","CUX2","lm",270,47,NA,0.565003425121838,0.0813774248063672,"cv_r2",-0.202998278028562,0.0196078431372549,TRUE,NA,NA
"pDC","CUX2","ridge",270,47,NA,0.623423762535241,0.286917977699932,"cv_r2",0.000630928166353335,0.0196078431372549,TRUE,NA,NA
"pDC","CUX2","spearman",270,47,NA,0.32040050090359,0.0798368314869647,"cv_r2",0.0107498994333307,0.0196078431372549,TRUE,NA,NA
"pDC","MYB","rf",270,47,0.705131776201845,0.712723628363471,0.506421476892219,"oob_r2",-0.0225700786686436,0.0196078431372549,TRUE,0.773250077089115,0.874074074074074
"pDC","MYB","lm",270,47,NA,0.726498283969686,0.538356119916892,"cv_r2",-0.190251250295283,0.0196078431372549,TRUE,NA,NA
"pDC","MYB","ridge",270,47,NA,0.740445994263766,0.61533386720265,"cv_r2",-0.00271163131015978,0.0196078431372549,TRUE,NA,NA
"pDC","MYB","spearman",270,47,NA,0.314077330147477,0.115817866858884,"cv_r2",0.0106238878597429,0.0196078431372549,TRUE,NA,NA
"pDC","SMARCA5","rf",270,47,0.58191922854996,0.578420332609128,-0.0154810993863956,"oob_r2",-0.0136433157803291,0.0196078431372549,TRUE,0.830434782608696,0.757671957671958
"pDC","SMARCA5","lm",270,47,NA,0.471171049886211,-0.235108417800258,"cv_r2",-0.157879962051354,0.0196078431372549,TRUE,NA,NA
"pDC","SMARCA5","ridge",270,47,NA,0.535526950982061,0.00341417474383188,"cv_r2",-0.00105942837165867,0.0196078431372549,TRUE,NA,NA
"pDC","SMARCA5","spearman",270,47,NA,0.0842873736441282,-0.461179819683907,"cv_r2",0.00625201973742325,0.0196078431372549,TRUE,NA,NA
"pDC","HIVEP2","rf",270,47,0.766811922785612,0.76515047630917,0.574218919421258,"oob_r2",-0.00826161056465233,0.0196078431372549,TRUE,0.842424709631,0.702645502645503
"pDC","HIVEP2","lm",270,47,NA,0.782036251520672,0.614989030317115,"cv_r2",-0.185702490555486,0.0196078431372549,TRUE,NA,NA
"pDC","HIVEP2","ridge",270,47,NA,0.808881617250218,0.680291257674849,"cv_r2",0.00080573346060443,0.0196078431372549,TRUE,NA,NA
"pDC","HIVEP2","spearman",270,47,NA,0.480214096185561,0.349761322426362,"cv_r2",-0.00139731162436903,0.0196078431372549,TRUE,NA,NA
