"tf","cluster","method","n_obs","n_pred","oob_r2","cv_r2","lodo_r2","null_metric","null_q95","p_perm","beats_null","imp_stability_spearman","imp_top5_jaccard","type","drivers"
"TF06","synthetic_pilot","spearman",216,40,NA,-0.0561178148495378,-0.150825398584627,"cv_r2",-0.0057285160196705,0.941176470588235,FALSE,NA,NA,"linear","LIG40_REC40;LIG08_REC08;LIG27_REC27"
"TF07","synthetic_pilot","rf",216,40,0.217573848190602,0.254559161622282,0.232684930970546,"oob_r2",-0.0425868565943418,0.0196078431372549,TRUE,0.540333541796957,0.706878306878307,"nonlinear","LIG30_REC30;LIG35_REC35"
"TF07","synthetic_pilot","lm",216,40,NA,0.181760466281023,-0.0399242189010791,"cv_r2",-0.313543300809421,0.0196078431372549,TRUE,NA,NA,"nonlinear","LIG30_REC30;LIG35_REC35"
"TF07","synthetic_pilot","ridge",216,40,NA,0.293675888531591,0.192118495883311,"cv_r2",-0.00229854382340114,0.0196078431372549,TRUE,NA,NA,"nonlinear","LIG30_REC30;LIG35_REC35"
"TF07","synthetic_pilot","spearman",216,40,NA,-0.208027863837188,-0.287779141641447,"cv_r2",-0.00449967080244673,1,FALSE,NA,NA,"nonlinear","LIG30_REC30;LIG35_REC35"
"TF08","synthetic_pilot","rf",216,40,0.229845319450452,0.234108505715436,0.167610786256733,"oob_r2",-0.0724195790848255,0.0196078431372549,TRUE,0.50528663748176,0.656349206349206,"nonlinear","LIG36_REC36;LIG22_REC22"
"TF08","synthetic_pilot","lm",216,40,NA,0.0150272873326871,0.0835385343846093,"cv_r2",-0.35599903025804,0.0196078431372549,TRUE,NA,NA,"nonlinear","LIG36_REC36;LIG22_REC22"
"TF08","synthetic_pilot","ridge",216,40,NA,0.334746370986591,0.303305197077762,"cv_r2",-0.000354120202148824,0.0196078431372549,TRUE,NA,NA,"nonlinear","LIG36_REC36;LIG22_REC22"
"TF08","synthetic_pilot","spearman",216,40,NA,0.0984482939477962,0.0367301841718877,"cv_r2",-0.00209087248749245,0.0196078431372549,TRUE,NA,NA,"nonlinear","LIG36_REC36;LIG22_REC22"
"TF09","synthetic_pilot","rf",216,40,0.278108567140615,0.216830650753736,0.252534099350877,"oob_r2",-0.00778925426519087,0.0196078431372549,TRUE,0.498044611215343,0.536507936507936,"nonlinear","LIG35_REC35;LIG16_REC16"
"TF09","synthetic_pilot","lm",216,40,NA,0.16807115811649,0.179392880877586,"cv_r2",-0.384031618250195,0.0196078431372549,TRUE,NA,NA,"nonlinear","LIG35_REC35;LIG16_REC16"
"TF09","synthetic_pilot","ridge",216,40,NA,0.217917875854518,0.246865079826987,"cv_r2",-0.00264241330308583,0.0196078431372549,TRUE,NA,NA,"nonlinear","LIG35_REC35;LIG16_REC16"
"TF09","synthetic_pilot","spearman",216,40,NA,0.0369301636527524,-0.000889151591337844,"cv_r2",0.00236258827177633,0.0196078431372549,TRUE,NA,NA,"nonlinear","LIG35_REC35;LIG16_REC16"
"TF10","synthetic_pilot","rf",216,40,-0.152831019198007,-0.165155428419715,-0.245902278027789,"oob_r2",-0.0320255780983086,0.92156862745098,FALSE,0.224198457369189,0.0993827160493827,"null",""
"TF10","synthetic_pilot","lm",216,40,NA,-0.706142649084435,-1.08584572386573,"cv_r2",-0.331589243362364,0.568627450980392,FALSE,NA,NA,"null",""
"TF10","synthetic_pilot","ridge",216,40,NA,-0.00408498809420932,-0.111362725499087,"cv_r2",-0.00172871935205027,0.156862745098039,FALSE,NA,NA,"null",""
"TF10","synthetic_pilot","spearman",216,40,NA,-0.0429765988074973,-0.176718927670312,"cv_r2",0.000363009103398299,0.705882352941177,FALSE,NA,NA,"null",""
"TF11","synthetic_pilot","rf",216,40,-0.150075949331785,-0.0841494145762713,-0.273828940589171,"oob_r2",-0.0213170967691125,0.901960784313726,FALSE,0.405557640191787,0.282186948853616,"null",""
"TF11","synthetic_pilot","lm",216,40,NA,-0.574115917440102,-0.844148431554725,"cv_r2",-0.381870925488882,0.333333333333333,FALSE,NA,NA,"null",""
"TF11","synthetic_pilot","ridge",216,40,NA,-0.0214698209245558,-0.191589632245435,"cv_r2",0.00140214212405524,0.764705882352941,FALSE,NA,NA,"null",""
"TF11","synthetic_pilot","spearman",216,40,NA,-0.200582949584227,-0.19260030508146,"cv_r2",0.00763276146209999,0.980392156862745,FALSE,NA,NA,"null",""
"TF12","synthetic_pilot","rf",216,40,-0.146722369109691,-0.179493361904399,-0.209180739405862,"oob_r2",-0.0389221754030877,0.941176470588235,FALSE,0.190602459870753,0.115343915343915,"null",""
"TF12","synthetic_pilot","lm",216,40,NA,-1.03796829239499,-0.907600450830801,"cv_r2",-0.344163068848694,0.862745098039216,FALSE,NA,NA,"null",""
"TF12","synthetic_pilot","ridge",216,40,NA,-0.0190319828585475,-0.119674143527122,"cv_r2",-0.00128404674420708,0.666666666666667,FALSE,NA,NA,"null",""
