"dataset","method","threshold","auroc","n_true"
"erp","Decipher",0,0.531,128
"erp","RidgeRegr",0,0.532,128
"erp","OLSRegr",0,0.526,128
"erp","Decipher",1,0.589,9
"erp","RidgeRegr",1,0.578,9
"erp","OLSRegr",1,0.574,9
"erp","Decipher",2,0.718,4
"erp","RidgeRegr",2,0.701,4
"erp","OLSRegr",2,0.698,4
"erp","Decipher",3,0.471,1
"erp","RidgeRegr",3,0.471,1
"erp","OLSRegr",3,0.467,1
"lupus","Decipher",0,0.5,152
"lupus","RidgeRegr",0,0.506,152
"lupus","OLSRegr",0,0.506,152
"lupus","Decipher",1,0.5,6
"lupus","RidgeRegr",1,0.497,6
"lupus","OLSRegr",1,0.497,6
"sepsis","Decipher",0,0.489,252
"sepsis","RidgeRegr",0,0.488,252
"sepsis","OLSRegr",0,0.488,252
"tnbc","Decipher",0,0.58,135
"tnbc","RidgeRegr",0,0.579,135
"tnbc","OLSRegr",0,0.59,135
"tnbc","Decipher",1,0.567,28
"tnbc","RidgeRegr",1,0.548,28
"tnbc","OLSRegr",1,0.547,28
"tnbc","Decipher",2,0.8,6
"tnbc","RidgeRegr",2,0.767,6
"tnbc","OLSRegr",2,0.75,6
"tnbc","Decipher",3,0.706,2
"tnbc","RidgeRegr",3,0.663,2
"tnbc","OLSRegr",3,0.686,2
"cz_influenza","Decipher",0,0.531,186
"cz_influenza","RidgeRegr",0,0.523,186
"cz_influenza","OLSRegr",0,0.532,186
"cz_influenza","Decipher",1,0.453,54
"cz_influenza","RidgeRegr",1,0.459,54
"cz_influenza","OLSRegr",1,0.453,54
"cz_influenza","Decipher",2,0.463,16
"cz_influenza","RidgeRegr",2,0.459,16
"cz_influenza","OLSRegr",2,0.454,16
"cz_influenza","Decipher",3,0.457,3
"cz_influenza","RidgeRegr",3,0.463,3
"cz_influenza","OLSRegr",3,0.457,3
"cz_hpap_t1d_islets","Decipher",0,0.492,157
"cz_hpap_t1d_islets","RidgeRegr",0,0.498,157
"cz_hpap_t1d_islets","OLSRegr",0,0.502,157
"cz_hpap_t1d_islets","Decipher",1,0.44,35
"cz_hpap_t1d_islets","RidgeRegr",1,0.492,35
"cz_hpap_t1d_islets","OLSRegr",1,0.525,35
"cz_hnscc_hpv","Decipher",0,0.551,334
"cz_hnscc_hpv","RidgeRegr",0,0.549,334
"cz_hnscc_hpv","OLSRegr",0,0.547,334
"cz_hnscc_hpv","Decipher",1,0.549,50
"cz_hnscc_hpv","RidgeRegr",1,0.548,50
"cz_hnscc_hpv","OLSRegr",1,0.551,50
"cz_hnscc_hpv","Decipher",2,0.542,14
"cz_hnscc_hpv","RidgeRegr",2,0.543,14
"cz_hnscc_hpv","OLSRegr",2,0.549,14
"cz_hnscc_hpv","Decipher",3,0.969,1
"cz_hnscc_hpv","RidgeRegr",3,0.991,1
"cz_hnscc_hpv","OLSRegr",3,0.982,1
"cz_hnscc_hpv","Decipher",4,0.969,1
"cz_hnscc_hpv","RidgeRegr",4,0.991,1
"cz_hnscc_hpv","OLSRegr",4,0.982,1
"cz_human_kidney_v1.5","Decipher",0,0.551,246
"cz_human_kidney_v1.5","RidgeRegr",0,0.558,246
"cz_human_kidney_v1.5","OLSRegr",0,0.551,246
"cz_human_kidney_v1.5","Decipher",1,0.629,27
"cz_human_kidney_v1.5","RidgeRegr",1,0.605,27
"cz_human_kidney_v1.5","OLSRegr",1,0.603,27
"cz_cf_bronchial_biopsy","Decipher",0,0.575,253
"cz_cf_bronchial_biopsy","RidgeRegr",0,0.57,253
"cz_cf_bronchial_biopsy","OLSRegr",0,0.574,253
"cz_cf_bronchial_biopsy","Decipher",1,0.617,78
"cz_cf_bronchial_biopsy","RidgeRegr",1,0.621,78
"cz_cf_bronchial_biopsy","OLSRegr",1,0.62,78
"cz_cf_bronchial_biopsy","Decipher",2,0.591,21
"cz_cf_bronchial_biopsy","RidgeRegr",2,0.6,21
"cz_cf_bronchial_biopsy","OLSRegr",2,0.6,21
"cz_cf_bronchial_biopsy","Decipher",3,0.469,2
"cz_cf_bronchial_biopsy","RidgeRegr",3,0.472,2
"cz_cf_bronchial_biopsy","OLSRegr",3,0.471,2
"cz_cf_bronchial_biopsy","Decipher",4,0.469,2
"cz_cf_bronchial_biopsy","RidgeRegr",4,0.472,2
"cz_cf_bronchial_biopsy","OLSRegr",4,0.471,2
"cz_cf_bronchial_biopsy","Decipher",5,0.469,2
"cz_cf_bronchial_biopsy","RidgeRegr",5,0.472,2
"cz_cf_bronchial_biopsy","OLSRegr",5,0.471,2
"SevCOVID_Azimuthl2","Decipher",0,0.542,254
"SevCOVID_Azimuthl2","RidgeRegr",0,0.534,254
"SevCOVID_Azimuthl2","OLSRegr",0,0.534,254
"SevCOVID_Azimuthl2","Decipher",1,0.516,57
"SevCOVID_Azimuthl2","RidgeRegr",1,0.515,57
"SevCOVID_Azimuthl2","OLSRegr",1,0.516,57
"SevCOVID_Azimuthl2","Decipher",2,0.515,16
"SevCOVID_Azimuthl2","RidgeRegr",2,0.515,16
"SevCOVID_Azimuthl2","OLSRegr",2,0.515,16
"SevCOVID_Azimuthl2","Decipher",3,0.515,7
"SevCOVID_Azimuthl2","RidgeRegr",3,0.515,7
"SevCOVID_Azimuthl2","OLSRegr",3,0.515,7
"SevCOVID_Azimuthl2","Decipher",4,0.515,2
"SevCOVID_Azimuthl2","RidgeRegr",4,0.515,2
"SevCOVID_Azimuthl2","OLSRegr",4,0.515,2
"SevCOVID_Azimuthl2","Decipher",5,0.515,2
"SevCOVID_Azimuthl2","RidgeRegr",5,0.515,2
"SevCOVID_Azimuthl2","OLSRegr",5,0.515,2
"MilCOVID_Azimuthl2","Decipher",0,0.508,263
"MilCOVID_Azimuthl2","RidgeRegr",0,0.51,263
"MilCOVID_Azimuthl2","OLSRegr",0,0.511,263
"MilCOVID_Azimuthl2","Decipher",1,0.511,52
"MilCOVID_Azimuthl2","RidgeRegr",1,0.508,52
"MilCOVID_Azimuthl2","OLSRegr",1,0.509,52
"MilCOVID_Azimuthl2","Decipher",2,0.479,22
"MilCOVID_Azimuthl2","RidgeRegr",2,0.477,22
"MilCOVID_Azimuthl2","OLSRegr",2,0.479,22
"MilCOVID_Azimuthl2","Decipher",3,0.501,6
"MilCOVID_Azimuthl2","RidgeRegr",3,0.499,6
"MilCOVID_Azimuthl2","OLSRegr",3,0.499,6
"MilCOVID_Azimuthl2","Decipher",4,0.501,6
"MilCOVID_Azimuthl2","RidgeRegr",4,0.499,6
"MilCOVID_Azimuthl2","OLSRegr",4,0.499,6
