"dataset","method","threshold","auroc","n_true"
"cord_pic","RidgeRegr",4,0.616,18
"cord_pic","SpearmanCorr",4,0.623,18
"cord_pic","LROnly",4,0.607,18
"cord_pic","Decipher",5,0.616,15
"cord_pic","RidgeRegr",5,0.613,15
"cord_pic","SpearmanCorr",5,0.625,15
"cord_pic","LROnly",5,0.602,15
"cord_pic","Decipher",6,0.556,13
"cord_pic","RidgeRegr",6,0.556,13
"cord_pic","SpearmanCorr",6,0.567,13
"cord_pic","LROnly",6,0.554,13
"cord_pic","Decipher",7,0.537,10
"cord_pic","RidgeRegr",7,0.544,10
"cord_pic","SpearmanCorr",7,0.553,10
"cord_pic","LROnly",7,0.536,10
"cord_pic","Decipher",8,0.495,9
"cord_pic","RidgeRegr",8,0.497,9
"cord_pic","SpearmanCorr",8,0.507,9
"cord_pic","LROnly",8,0.496,9
"cord_pic","Decipher",9,0.512,7
"cord_pic","RidgeRegr",9,0.511,7
"cord_pic","SpearmanCorr",9,0.523,7
"cord_pic","LROnly",9,0.513,7
"cord_pic","Decipher",10,0.613,3
"cord_pic","RidgeRegr",10,0.593,3
"cord_pic","SpearmanCorr",10,0.62,3
"cord_pic","LROnly",10,0.615,3
"cord_pic","Decipher",11,0.437,2
"cord_pic","RidgeRegr",11,0.45,2
"cord_pic","SpearmanCorr",11,0.45,2
"cord_pic","LROnly",11,0.437,2
"cord_pic","Decipher",12,0.437,2
"cord_pic","RidgeRegr",12,0.45,2
"cord_pic","SpearmanCorr",12,0.45,2
"cord_pic","LROnly",12,0.437,2
"cord_pic","Decipher",13,0.437,2
"cord_pic","RidgeRegr",13,0.45,2
"cord_pic","SpearmanCorr",13,0.45,2
"cord_pic","LROnly",13,0.437,2
"cord_pic","Decipher",14,0.437,2
"cord_pic","RidgeRegr",14,0.45,2
"cord_pic","SpearmanCorr",14,0.45,2
"cord_pic","LROnly",14,0.437,2
"erp","Decipher",0,0.531,128
"erp","RidgeRegr",0,0.532,128
"erp","SpearmanCorr",0,0.54,128
"erp","LROnly",0,0.546,128
"erp","Decipher",1,0.589,9
"erp","RidgeRegr",1,0.578,9
"erp","SpearmanCorr",1,0.58,9
"erp","LROnly",1,0.568,9
"erp","Decipher",2,0.718,4
"erp","RidgeRegr",2,0.701,4
"erp","SpearmanCorr",2,0.713,4
"erp","LROnly",2,0.704,4
"erp","Decipher",3,0.471,1
"erp","RidgeRegr",3,0.471,1
"erp","SpearmanCorr",3,0.475,1
"erp","LROnly",3,0.467,1
"lupus","Decipher",0,0.5,152
"lupus","RidgeRegr",0,0.506,152
"lupus","SpearmanCorr",0,0.5,152
"lupus","LROnly",0,0.5,152
"lupus","Decipher",1,0.5,6
"lupus","RidgeRegr",1,0.497,6
"lupus","SpearmanCorr",1,0.5,6
"lupus","LROnly",1,0.507,6
"sepsis","Decipher",0,0.489,252
"sepsis","RidgeRegr",0,0.488,252
"sepsis","SpearmanCorr",0,0.485,252
"sepsis","LROnly",0,0.481,252
"tnbc","Decipher",0,0.58,135
"tnbc","RidgeRegr",0,0.579,135
"tnbc","SpearmanCorr",0,0.579,135
"tnbc","LROnly",0,0.614,135
"tnbc","Decipher",1,0.567,28
"tnbc","RidgeRegr",1,0.548,28
"tnbc","SpearmanCorr",1,0.546,28
"tnbc","LROnly",1,0.585,28
"tnbc","Decipher",2,0.8,6
"tnbc","RidgeRegr",2,0.767,6
"tnbc","SpearmanCorr",2,0.782,6
"tnbc","LROnly",2,0.802,6
"tnbc","Decipher",3,0.706,2
"tnbc","RidgeRegr",3,0.663,2
"tnbc","SpearmanCorr",3,0.696,2
"tnbc","LROnly",3,0.729,2
"cz_influenza","Decipher",0,0.531,186
"cz_influenza","RidgeRegr",0,0.523,186
"cz_influenza","SpearmanCorr",0,0.533,186
"cz_influenza","LROnly",0,0.535,186
"cz_influenza","Decipher",1,0.453,54
"cz_influenza","RidgeRegr",1,0.459,54
"cz_influenza","SpearmanCorr",1,0.453,54
"cz_influenza","LROnly",1,0.44,54
"cz_influenza","Decipher",2,0.463,16
"cz_influenza","RidgeRegr",2,0.459,16
"cz_influenza","SpearmanCorr",2,0.456,16
"cz_influenza","LROnly",2,0.408,16
"cz_influenza","Decipher",3,0.457,3
"cz_influenza","RidgeRegr",3,0.463,3
"cz_influenza","SpearmanCorr",3,0.457,3
"cz_influenza","LROnly",3,0.462,3
"cz_hpap_t1d_islets","Decipher",0,0.492,157
"cz_hpap_t1d_islets","RidgeRegr",0,0.498,157
"cz_hpap_t1d_islets","SpearmanCorr",0,0.486,157
"cz_hpap_t1d_islets","LROnly",0,0.515,157
"cz_hpap_t1d_islets","Decipher",1,0.44,35
"cz_hpap_t1d_islets","RidgeRegr",1,0.492,35
"cz_hpap_t1d_islets","SpearmanCorr",1,0.462,35
"cz_hpap_t1d_islets","LROnly",1,0.464,35
"cz_hnscc_hpv","Decipher",0,0.551,334
"cz_hnscc_hpv","RidgeRegr",0,0.549,334
"cz_hnscc_hpv","SpearmanCorr",0,0.527,334
"cz_hnscc_hpv","LROnly",0,0.461,334
"cz_hnscc_hpv","Decipher",1,0.549,50
"cz_hnscc_hpv","RidgeRegr",1,0.548,50
"cz_hnscc_hpv","SpearmanCorr",1,0.543,50
"cz_hnscc_hpv","LROnly",1,0.478,50
"cz_hnscc_hpv","Decipher",2,0.542,14
"cz_hnscc_hpv","RidgeRegr",2,0.543,14
"cz_hnscc_hpv","SpearmanCorr",2,0.537,14
"cz_hnscc_hpv","LROnly",2,0.488,14
"cz_hnscc_hpv","Decipher",3,0.969,1
"cz_hnscc_hpv","RidgeRegr",3,0.991,1
"cz_hnscc_hpv","SpearmanCorr",3,0.991,1
"cz_hnscc_hpv","LROnly",3,0.92,1
"cz_hnscc_hpv","Decipher",4,0.969,1
"cz_hnscc_hpv","RidgeRegr",4,0.991,1
"cz_hnscc_hpv","SpearmanCorr",4,0.991,1
"cz_hnscc_hpv","LROnly",4,0.92,1
"cz_human_kidney_v1.5","Decipher",0,0.551,246
"cz_human_kidney_v1.5","RidgeRegr",0,0.558,246
"cz_human_kidney_v1.5","SpearmanCorr",0,0.56,246
"cz_human_kidney_v1.5","LROnly",0,0.516,246
"cz_human_kidney_v1.5","Decipher",1,0.629,27
"cz_human_kidney_v1.5","RidgeRegr",1,0.605,27
"cz_human_kidney_v1.5","SpearmanCorr",1,0.584,27
"cz_human_kidney_v1.5","LROnly",1,0.541,27
"cz_cf_bronchial_biopsy","Decipher",0,0.575,253
"cz_cf_bronchial_biopsy","RidgeRegr",0,0.57,253
"cz_cf_bronchial_biopsy","SpearmanCorr",0,0.578,253
"cz_cf_bronchial_biopsy","LROnly",0,0.571,253
"cz_cf_bronchial_biopsy","Decipher",1,0.617,78
"cz_cf_bronchial_biopsy","RidgeRegr",1,0.621,78
"cz_cf_bronchial_biopsy","SpearmanCorr",1,0.622,78
"cz_cf_bronchial_biopsy","LROnly",1,0.579,78
"cz_cf_bronchial_biopsy","Decipher",2,0.591,21
"cz_cf_bronchial_biopsy","RidgeRegr",2,0.6,21
"cz_cf_bronchial_biopsy","SpearmanCorr",2,0.603,21
"cz_cf_bronchial_biopsy","LROnly",2,0.59,21
"cz_cf_bronchial_biopsy","Decipher",3,0.469,2
"cz_cf_bronchial_biopsy","RidgeRegr",3,0.472,2
"cz_cf_bronchial_biopsy","SpearmanCorr",3,0.465,2
"cz_cf_bronchial_biopsy","LROnly",3,0.484,2
"cz_cf_bronchial_biopsy","Decipher",4,0.469,2
"cz_cf_bronchial_biopsy","RidgeRegr",4,0.472,2
"cz_cf_bronchial_biopsy","SpearmanCorr",4,0.465,2
"cz_cf_bronchial_biopsy","LROnly",4,0.484,2
"cz_cf_bronchial_biopsy","Decipher",5,0.469,2
"cz_cf_bronchial_biopsy","RidgeRegr",5,0.472,2
"cz_cf_bronchial_biopsy","SpearmanCorr",5,0.465,2
"cz_cf_bronchial_biopsy","LROnly",5,0.484,2
"SevCOVID_Azimuthl2","Decipher",0,0.542,254
"SevCOVID_Azimuthl2","RidgeRegr",0,0.534,254
"SevCOVID_Azimuthl2","SpearmanCorr",0,0.542,254
"SevCOVID_Azimuthl2","LROnly",0,0.535,254
"SevCOVID_Azimuthl2","Decipher",1,0.516,57
"SevCOVID_Azimuthl2","RidgeRegr",1,0.515,57
"SevCOVID_Azimuthl2","SpearmanCorr",1,0.531,57
"SevCOVID_Azimuthl2","LROnly",1,0.519,57
"SevCOVID_Azimuthl2","Decipher",2,0.515,16
"SevCOVID_Azimuthl2","RidgeRegr",2,0.515,16
"SevCOVID_Azimuthl2","SpearmanCorr",2,0.511,16
"SevCOVID_Azimuthl2","LROnly",2,0.52,16
