"dataset","cluster","tf","method","cv_r2"
"erp","Fibroblast","ZBTB1","xgboost",0.900213837963894
"erp","Fibroblast","ZBTB42","xgboost",0.851437193543071
"erp","Fibroblast","OSR1","xgboost",0.837829002083236
"erp","Fibroblast","MYBL1","xgboost",0.878143455558236
"erp","Fibroblast","PAX9","xgboost",0.895889263771662
"erp","Fibroblast","JUNB","xgboost",0.928118786706193
"erp","Fibroblast","ESR1","xgboost",0.802453714878934
"erp","Fibroblast","PRDM11","xgboost",0.820642314249274
"erp","Fibroblast","ONECUT2","xgboost",0.887633070649274
"erp","Fibroblast","MEF2C","xgboost",0.926698189305444
"erp","Fibroblast","MEF2B","xgboost",0.865584915905256
"erp","Fibroblast","SIM2","xgboost",0.766336519002672
"erp","Fibroblast","LYL1","xgboost",0.925953718074867
"erp","Fibroblast","RUNX1","xgboost",0.829816171721012
"erp","Fibroblast","PGR","xgboost",0.794753392371389
"erp","Fibroblast","MYC","xgboost",0.8432888322234
"erp","Fibroblast","KLF6","mars",0.857091685266229
"erp","Fibroblast","TFAP2E","mars",0.892891478609256
"erp","Fibroblast","TFAP2C","mars",0.864774364290643
"erp","Fibroblast","FOS","mars",0.84529071091284
"erp","Fibroblast","IRF8","mars",0.79786489961614
"erp","Fibroblast","MEF2A","mars",0.862932217160569
"erp","Fibroblast","GRHL1","mars",0.803772452400886
"erp","Fibroblast","SPI1","mars",0.865957235612251
"erp","Fibroblast","BCL11A","mars",0.850192258655273
"erp","Fibroblast","SP6","mars",0.87994639601718
"erp","Fibroblast","ZEB1","mars",0.891212732181673
"erp","Fibroblast","BATF","mars",0.889519016802204
"erp","Fibroblast","TFAP2B","mars",0.865584270408234
"erp","Fibroblast","NFATC2","mars",0.869162368050986
"erp","Fibroblast","IRF1","mars",0.875613689657068
"erp","Fibroblast","ATF3","mars",0.87528620793998
"erp","Fibroblast","STAT2","mars",0.884365946371858
"erp","Fibroblast","MAFB","mars",0.870345491170921
"erp","Fibroblast","SALL4","mars",0.8675724365283
"erp","Fibroblast","STAT1","mars",0.828712937537731
"erp","Fibroblast","NHLH2","mars",0.872097032691976
"erp","Fibroblast","NFATC4","mars",0.878644435117908
"erp","Fibroblast","HES7","mars",0.816034637708747
"erp","Fibroblast","MAF","mars",0.889229291160567
"erp","Fibroblast","RORC","mars",0.878430533958511
"erp","Fibroblast","HSF4","mars",0.712234820794728
"erp","Fibroblast","SIX2","mars",0.766355234736132
"erp","Fibroblast","DMRTA1","mars",0.796594720324558
"erp","Fibroblast","PAX2","mars",0.767410480648199
"erp","Fibroblast","FOXP3","mars",0.892404245095298
"erp","Fibroblast","IRF6","mars",0.839484740455953
"erp","Fibroblast","ZBTB18","mars",0.855880301318627
"erp","Fibroblast","WT1","mars",0.85068640437127
"erp","Fibroblast","E2F1","mars",0.879847835030444
"erp","Fibroblast","RUNX2","mars",0.854491195311152
"erp","Fibroblast","ELF3","mars",0.796184673705791
"erp","Fibroblast","AC012531.1","mars",0.890625728541686
"erp","Fibroblast","ENO1","mars",0.617297204897407
"erp","Fibroblast","ZBTB1","mars",0.857153248125224
