"dataset","cluster","tf","deltaPagoda","cor_score_expr","anchor_sign","anchored_delta","flipped","weak_anchor"
"covid","B","KLF13",-0.784431302689626,0.285622173827862,1,-0.784431302689626,FALSE,FALSE
"covid","B","ID2",0.735033356314832,0.0443134884587712,1,0.735033356314832,FALSE,TRUE
"covid","B","BACH1",0.758507561502975,0.13171320093384,1,0.758507561502975,FALSE,TRUE
"covid","B","BRF1",0.759432492920328,0.0737395286601418,1,0.759432492920328,FALSE,TRUE
"covid","B","MYBL1",0.774470800636564,-0.0284773313914996,-1,-0.774470800636564,TRUE,TRUE
"covid","B","BCL6",0.803528576011248,0.123447061010449,1,0.803528576011248,FALSE,TRUE
"covid","B","NR4A1",0.826042138380891,0.23247558506554,1,0.826042138380891,FALSE,FALSE
"covid","B","CEBPZ",0.826491714929024,0.305593296365114,1,0.826491714929024,FALSE,FALSE
"covid","B","HIF1A",0.832876860029109,0.426691967224287,1,0.832876860029109,FALSE,FALSE
"covid","B","POU2F1",0.835710538958226,0.313118600879074,1,0.835710538958226,FALSE,FALSE
"covid","B","KLF2",0.837750973186401,0.461728269367194,1,0.837750973186401,FALSE,FALSE
"covid","B","FOXO1",0.842124023571155,0.438686423812261,1,0.842124023571155,FALSE,FALSE
"covid","B","TP63",0.864815251664744,0.0609159827360909,1,0.864815251664744,FALSE,TRUE
"covid","B","SPIB",0.877005016721204,0.592728737767047,1,0.877005016721204,FALSE,FALSE
"covid","B","KLF3",0.887570758401528,0.222439282248422,1,0.887570758401528,FALSE,FALSE
"covid","B","KLF6",0.91840613560157,0.230710452327583,1,0.91840613560157,FALSE,FALSE
"covid","B","POU2F2",0.925632197442773,0.34601835310105,1,0.925632197442773,FALSE,FALSE
"covid","B","CTCF",0.928303718746299,0.340781486459961,1,0.928303718746299,FALSE,FALSE
"covid","B","FOSB",0.963692297719303,0.318087162003049,1,0.963692297719303,FALSE,FALSE
"covid","B","ZNF331",0.987392475218286,0.454385797693808,1,0.987392475218286,FALSE,FALSE
"covid","B","PAX8",0.988195387047549,0.0285302156678887,1,0.988195387047549,FALSE,TRUE
