"dataset","cluster","tf","deltaPagoda","n_targets","cor_score_targets"
"covid","CD14_plus_BDCA1_plus_PD_minus_L1_plus_cells","CREB1",4.73685362279522,40,0.58155056357678
"covid","CD14_plus_BDCA1_plus_PD_minus_L1_plus_cells","HIVEP3",4.77556080589924,35,0.506503115627164
"covid","CD14_plus_BDCA1_plus_PD_minus_L1_plus_cells","ID1",4.79843576960815,40,0.673751558160804
"covid","CD14_plus_BDCA1_plus_PD_minus_L1_plus_cells","MLXIP",4.87296590368972,40,0.0808934589537909
"covid","CD14_plus_BDCA1_plus_PD_minus_L1_plus_cells","NR4A2",4.99976681559479,40,0.596676296302984
"covid","CD14_plus_BDCA1_plus_PD_minus_L1_plus_cells","MXI1",5.11421605971443,40,0.531887188810548
"covid","CD14_plus_BDCA1_plus_PD_minus_L1_plus_cells","LMO2",5.18589932556792,40,0.511663542821905
"covid","CD14_plus_BDCA1_plus_PD_minus_L1_plus_cells","XBP1",5.18943683677663,40,0.685913955495802
"covid","CD14_plus_BDCA1_plus_PD_minus_L1_plus_cells","MNT",5.2480310584614,40,0.604100766736644
"covid","CD14_plus_BDCA1_plus_PD_minus_L1_plus_cells","ATF4",5.25510920311612,38,0.830937549262187
"covid","CD14_plus_BDCA1_plus_PD_minus_L1_plus_cells","IKZF1",5.29408928912848,35,0.739569735812317
"covid","CD14_plus_BDCA1_plus_PD_minus_L1_plus_cells","CEBPZ",5.35623778074499,40,0.583619266402268
"covid","CD14_plus_BDCA1_plus_PD_minus_L1_plus_cells","RUNX1",5.38333635541743,40,0.338530630924049
"covid","CD14_plus_BDCA1_plus_PD_minus_L1_plus_cells","HLX",5.46065443490603,26,0.75986509018409
"covid","CD14_plus_BDCA1_plus_PD_minus_L1_plus_cells","FOSL2",5.56825055557357,40,0.677762512335078
"covid","CD14_plus_BDCA1_plus_PD_minus_L1_plus_cells","GTF2I",5.58005341258266,40,0.31108398686388
"covid","CD14_plus_BDCA1_plus_PD_minus_L1_plus_cells","BATF",5.58959082651124,40,0.513812495703122
"covid","CD14_plus_BDCA1_plus_PD_minus_L1_plus_cells","ARID3A",5.64028601025247,40,0.463897092984092
"covid","CD14_plus_BDCA1_plus_PD_minus_L1_plus_cells","ID3",5.67891871272046,40,0.531735035927108
"covid","CD14_plus_BDCA1_plus_PD_minus_L1_plus_cells","EGR3",5.68126305855144,40,0.208576214289038
"covid","CD14_plus_BDCA1_plus_PD_minus_L1_plus_cells","KLF11",5.74397766544212,40,0.356804754725524
"covid","CD14_plus_BDCA1_plus_PD_minus_L1_plus_cells","POU2F2",5.76898124517405,40,0.658472526717032
"covid","CD14_plus_BDCA1_plus_PD_minus_L1_plus_cells","JDP2",5.77444038799153,40,0.509720124805642
"covid","CD14_plus_BDCA1_plus_PD_minus_L1_plus_cells","FOXN2",5.77621021021861,40,0.708273776579011
"covid","CD14_plus_BDCA1_plus_PD_minus_L1_plus_cells","ETV7",5.86112374439034,40,0.85654436565581
"covid","CD14_plus_BDCA1_plus_PD_minus_L1_plus_cells","MAFB",5.92135378984979,40,0.767803713752579
"covid","CD14_plus_BDCA1_plus_PD_minus_L1_plus_cells","FOXP1",5.98366288006932,40,0.103306168962617
"covid","CD14_plus_BDCA1_plus_PD_minus_L1_plus_cells","FOXN3",6.0324607997551,40,0.667056088233395
"covid","CD14_plus_BDCA1_plus_PD_minus_L1_plus_cells","TCF4",6.06864621996082,29,0.296818254734899
"covid","CD14_plus_BDCA1_plus_PD_minus_L1_plus_cells","THRA",6.1132270546473,40,0.336415789177631
"covid","CD14_plus_BDCA1_plus_PD_minus_L1_plus_cells","BACH1",6.11872156737891,40,0.75146975796511
"covid","CD14_plus_BDCA1_plus_PD_minus_L1_plus_cells","NR3C1",6.15514352563483,40,0.706095768122061
"covid","CD14_plus_BDCA1_plus_PD_minus_L1_plus_cells","SMARCA5",6.2769156932371,40,0.455792885967282
"covid","CD14_plus_BDCA1_plus_PD_minus_L1_plus_cells","STAT3",6.32266949241929,40,0.796783254710594
"covid","CD14_plus_BDCA1_plus_PD_minus_L1_plus_cells","GATA1",6.35021082497721,40,0.705136420233625
"covid","CD14_plus_BDCA1_plus_PD_minus_L1_plus_cells","CHD2",6.49735954998657,40,0.759801388750964
"covid","CD14_plus_BDCA1_plus_PD_minus_L1_plus_cells","FOXO3",6.57823727233649,40,0.664574517065637
"covid","CD14_plus_BDCA1_plus_PD_minus_L1_plus_cells","ZNF143",6.65230520155684,37,0.939959798583193
"covid","CD14_plus_BDCA1_plus_PD_minus_L1_plus_cells","BCL11A",6.90775147108092,40,0.850839264471711
"covid","CD14_plus_BDCA1_plus_PD_minus_L1_plus_cells","STAT1",7.19628121579478,40,0.937850359618305
"covid","CD14_plus_BDCA1_plus_PD_minus_L1_plus_cells","IRF8",8.34710773342976,40,0.959721895640205
"covid","CD14_plus_BDCA1_plus_PD_minus_L1_plus_cells","IRF2",9.19887317917584,40,0.974941989543048
"covid","CD14_plus_BDCA1_plus_PD_minus_L1_plus_cells","STAT2",10.0647761556368,40,0.978077220886959
"covid","CD14_plus_BDCA1_plus_PD_minus_L1_plus_cells","IRF7",10.3689276444256,40,0.984359030804882
"SevCOVID_Azimuthl2","NK","HES4",-4.05746006497883,40,-0.0668990436213777
"SevCOVID_Azimuthl2","NK","EGR1",-3.9040567715537,40,0.24875237724712
"SevCOVID_Azimuthl2","NK","STAT3",-3.78892335886484,40,-0.185768882196608
"SevCOVID_Azimuthl2","NK","ZBTB7A",-3.65880563239565,40,0.77703927579422
"SevCOVID_Azimuthl2","NK","IRF2",-3.65446332875729,40,0.264413562272634
"SevCOVID_Azimuthl2","NK","EP300",-3.52656281111977,40,-0.182923229776657
"SevCOVID_Azimuthl2","NK","MYC",-3.52047272349692,40,0.830025045066883
"SevCOVID_Azimuthl2","NK","USF2",-3.43928177995596,40,0.73477825374401
"SevCOVID_Azimuthl2","NK","YY1",-3.38007341884601,40,-0.30733025453957
"SevCOVID_Azimuthl2","NK","IRF3",-3.32115841320849,40,-0.176806663345987
"SevCOVID_Azimuthl2","NK","ETS2",-3.2637608175874,40,-0.131860766975981
"SevCOVID_Azimuthl2","NK","TBX21",-3.03528208191106,40,-0.0807026728484323
"SevCOVID_Azimuthl2","NK","POU2F2",-2.88857941480369,40,-0.0415268530739073
"SevCOVID_Azimuthl2","NK","NFE2L2",-2.84844395992649,30,0.0162277923646344
"SevCOVID_Azimuthl2","NK","MBD2",-2.77910731727993,40,0.194841929151565
"SevCOVID_Azimuthl2","NK","ID2",-2.59425100318999,40,0.127253802257298
"SevCOVID_Azimuthl2","NK","ID1",-2.56081496811992,40,-0.240326967808336
"SevCOVID_Azimuthl2","NK","CTCF",-2.55512372566372,40,0.0811871911169153
"SevCOVID_Azimuthl2","NK","KLF9",-2.35670287369627,40,0.00540596610923392
"SevCOVID_Azimuthl2","NK","ZNF148",-2.18766780184895,40,-0.0216028189269386
"SevCOVID_Azimuthl2","NK","ELF1",-2.02379931245227,40,0.40923082706265
"SevCOVID_Azimuthl2","NK","ATF4",-1.83411305095491,22,-0.353838473940435
"SevCOVID_Azimuthl2","NK","CHD2",-1.80613410313556,40,0.00674707965215114
"SevCOVID_Azimuthl2","NK","ZFX",-1.720340330886,27,-0.257226189704376
"SevCOVID_Azimuthl2","NK","GTF2I",-1.68565378512075,40,0.0613326220436281
"SevCOVID_Azimuthl2","NK","ELF2",-1.08668001207142,40,-0.526462565534862
"SevCOVID_Azimuthl2","NK","KLF4",0.965961973557971,40,0.495442790870891
"SevCOVID_Azimuthl2","NK","REST",1.00350618238372,40,0.37270618728315
"SevCOVID_Azimuthl2","NK","SP100",1.10518994666474,40,0.367795584829036
"SevCOVID_Azimuthl2","NK","IKZF3",1.2008214634646,23,0.629486210521066
"SevCOVID_Azimuthl2","NK","BHLHE40",1.21276620499812,40,0.423834822660267
"SevCOVID_Azimuthl2","NK","DDIT3",1.213241800755,24,0.252150490849708
"SevCOVID_Azimuthl2","NK","SMARCA5",1.36100113908091,40,0.470621522801317
"SevCOVID_Azimuthl2","NK","FUBP1",1.36753180442485,40,0.30224613417186
"SevCOVID_Azimuthl2","NK","KLF2",1.40995860811992,40,0.697468684276988
"SevCOVID_Azimuthl2","NK","STAT1",1.4785998159812,40,0.64457131607344
"SevCOVID_Azimuthl2","NK","STAT6",1.5150194247295,24,0.559707530613751
"SevCOVID_Azimuthl2","NK","SMAD3",1.58258952128071,27,0.695257094026549
"SevCOVID_Azimuthl2","NK","KLF10",1.64068350521623,40,0.754349618419011
"SevCOVID_Azimuthl2","NK","EWSR1",1.70772274502532,32,0.633264648917917
"SevCOVID_Azimuthl2","NK","ITGB2",1.7650566460144,40,0.775097637227045
"SevCOVID_Azimuthl2","NK","GATA3",1.85246885177176,40,0.094745951202494
"SevCOVID_Azimuthl2","NK","IKZF1",1.86900589653761,29,0.714554527894736
"SevCOVID_Azimuthl2","NK","CUX1",1.87848200886182,24,0.315751676582199
"SevCOVID_Azimuthl2","NK","TCF7",1.92910430975783,25,0.638760414166702
"SevCOVID_Azimuthl2","NK","YBX1",1.95751613101126,22,0.801258380863523
"SevCOVID_Azimuthl2","NK","ZNF331",2.00396042987027,40,0.810375975802495
"SevCOVID_Azimuthl2","NK","RUNX3",2.12495893138195,40,0.741971863857291
"SevCOVID_Azimuthl2","NK","PURA",2.15944242630592,40,0.636573798914173
"SevCOVID_Azimuthl2","NK","TFDP2",2.28200642904657,40,0.742736947562705
"SevCOVID_Azimuthl2","NK","RORA",2.29318142105425,40,0.642674407487615
"SevCOVID_Azimuthl2","NK","ASCL2",2.29762119850756,40,0.646011436166532
"SevCOVID_Azimuthl2","NK","NFATC3",2.338551823247,40,0.423101993846157
"SevCOVID_Azimuthl2","NK","JUND",2.33868809400674,40,0.672308975617991
"SevCOVID_Azimuthl2","NK","ENO1",2.35114298041786,40,0.799489631491879
"SevCOVID_Azimuthl2","NK","IRF7",2.37232744954994,40,0.891560412141568
"SevCOVID_Azimuthl2","NK","BACH1",2.41197773113173,40,0.420589801906738
"SevCOVID_Azimuthl2","NK","RELB",2.42057389250249,29,0.735849754780514
"SevCOVID_Azimuthl2","NK","CEBPZ",2.46153607338851,40,0.796084544082323
"SevCOVID_Azimuthl2","NK","RARB",2.46223220541186,20,0.633508707343992
"SevCOVID_Azimuthl2","NK","HMGN3",2.56523391043915,40,0.553826005468474
"SevCOVID_Azimuthl2","NK","KLF5",2.60660419218206,40,0.625525601064605
"SevCOVID_Azimuthl2","NK","JUNB",2.60852723692133,40,0.765629027337332
"SevCOVID_Azimuthl2","NK","TCF7L2",2.61431750629619,40,0.743421058999309
"SevCOVID_Azimuthl2","NK","IRF9",2.76239872191252,40,0.865749905830856
"SevCOVID_Azimuthl2","NK","MAFB",2.77162774028061,33,0.246663693105968
"SevCOVID_Azimuthl2","NK","REL",2.78060491369415,40,0.831023532081675
"SevCOVID_Azimuthl2","NK","RAD21",2.90173302935211,40,0.855891482467647
"SevCOVID_Azimuthl2","NK","STAT4",2.9282065315585,40,0.715782108191112
"SevCOVID_Azimuthl2","NK","FOXP1",2.93618645633234,32,0.175756108548207
"SevCOVID_Azimuthl2","NK","IRF8",2.98350333154107,40,0.756530558663735
"SevCOVID_Azimuthl2","NK","MYBL1",2.99621795947893,40,0.708609055504067
"SevCOVID_Azimuthl2","NK","MAZ",3.04947074927783,40,0.85300782569513
"SevCOVID_Azimuthl2","NK","NR4A2",3.05457072324666,40,0.731702118244645
"SevCOVID_Azimuthl2","NK","ZBTB1",3.06876191880747,40,0.677578567815156
"SevCOVID_Azimuthl2","NK","BACH2",3.12189883526047,40,0.594699703197919
"SevCOVID_Azimuthl2","NK","FOSL2",3.14273660624962,40,0.690921007523017
"SevCOVID_Azimuthl2","NK","ZNF683",3.1754565211664,33,0.672030345970895
"SevCOVID_Azimuthl2","NK","JUN",3.19274743283782,40,0.342956770561858
"SevCOVID_Azimuthl2","NK","NFATC2",3.22317571091832,40,0.452704497355169
"SevCOVID_Azimuthl2","NK","BCLAF1",3.22873305980523,40,0.778890784317598
"SevCOVID_Azimuthl2","NK","POLR2A",3.26103957414662,40,0.436275142942155
"SevCOVID_Azimuthl2","NK","FOSB",3.28506028850353,40,0.674187403201719
"SevCOVID_Azimuthl2","NK","MECP2",3.29323333379492,40,0.664250745802329
"SevCOVID_Azimuthl2","NK","IRF4",3.30319355934006,40,0.56651914486633
"SevCOVID_Azimuthl2","NK","PRDM1",3.37309916359873,40,0.523588447077214
"SevCOVID_Azimuthl2","NK","MAFF",3.48033309154687,40,0.815430629147166
"SevCOVID_Azimuthl2","NK","ETS1",3.51164641484313,40,0.585820946670554
"SevCOVID_Azimuthl2","NK","MXI1",3.60889999119521,40,0.518533653098239
"SevCOVID_Azimuthl2","NK","SMC3",3.63059729084395,40,0.35464347297043
"SevCOVID_Azimuthl2","NK","NR3C1",3.63996511489847,40,0.775682584933958
"SevCOVID_Azimuthl2","NK","KLF7",3.66951448733434,40,0.430624572414841
"SevCOVID_Azimuthl2","NK","BCL11B",3.71439610715951,40,0.770271158904678
"SevCOVID_Azimuthl2","NK","BDP1",3.88433282758173,40,0.380099299565884
"SevCOVID_Azimuthl2","NK","KLF3",4.33227714565691,40,0.577003597698498
"SevCOVID_Azimuthl2","NK","MEF2C",4.33834662304193,40,0.626999887021018
"SevCOVID_Azimuthl2","NK","CEBPB",4.63745549855575,40,0.842537800288054
"SevCOVID_Azimuthl2","B_naive","CEBPZ",-2.87073962880069,40,0.219769862860778
"SevCOVID_Azimuthl2","B_naive","JUN",-2.53141674864268,40,0.523797950809267
"SevCOVID_Azimuthl2","B_naive","FOSB",-2.12030892153374,40,0.665999004223619
"SevCOVID_Azimuthl2","B_naive","HMGN3",-2.09959299721752,40,0.543463856011278
"SevCOVID_Azimuthl2","B_naive","HES1",-1.96271503162329,40,0.763460278348375
"SevCOVID_Azimuthl2","B_naive","JUNB",-1.86976537736192,40,0.6965056543935
"SevCOVID_Azimuthl2","B_naive","MBD2",-1.8283140526683,40,0.703588496670312
"SevCOVID_Azimuthl2","B_naive","NR4A2",-1.78456491797322,40,0.593454233532237
"SevCOVID_Azimuthl2","B_naive","FOS",-1.77053720729321,40,0.597266401966125
"SevCOVID_Azimuthl2","B_naive","POU2F2",-1.73946682916998,40,0.665488906241006
"SevCOVID_Azimuthl2","B_naive","MYBL2",-1.45213550425458,40,0.758947694219516
"SevCOVID_Azimuthl2","B_naive","MAZ",-1.4309653079958,40,0.4089363662457
"SevCOVID_Azimuthl2","B_naive","ZNF331",-1.28521319902016,40,0.539543931316624
"SevCOVID_Azimuthl2","B_naive","REL",-1.21665853075583,40,-0.0284633511460634
"SevCOVID_Azimuthl2","B_naive","GTF2I",-1.17181221625372,40,0.556001568279968
"SevCOVID_Azimuthl2","B_naive","TCF4",-1.12624707171905,40,0.321465802988608
"SevCOVID_Azimuthl2","B_naive","ZKSCAN1",-1.10299619400173,21,0.0791308876150652
"SevCOVID_Azimuthl2","B_naive","MEF2A",-1.0282925027425,40,0.561244414262355
"SevCOVID_Azimuthl2","B_naive","E2F1",-0.983456764118636,40,0.202133108828203
"SevCOVID_Azimuthl2","B_naive","TFEC",-0.980232618836195,27,0.728710434701547
"SevCOVID_Azimuthl2","B_naive","IRF8",-0.919831139593714,40,0.601557271774275
"SevCOVID_Azimuthl2","B_naive","KLF10",-0.915149389157487,40,0.60122121178117
"SevCOVID_Azimuthl2","B_naive","ITGB2",-0.898230931277584,40,0.707557260533514
"SevCOVID_Azimuthl2","B_naive","ZNF148",-0.893831906384178,40,0.362098828383232
"SevCOVID_Azimuthl2","B_naive","RFX2",-0.891586791377943,29,0.619076579234865
"SevCOVID_Azimuthl2","B_naive","KLF3",-0.873471327759627,40,0.352471697992536
"SevCOVID_Azimuthl2","B_naive","ID1",-0.87120617145416,36,0.553985983546239
"SevCOVID_Azimuthl2","B_naive","SMARCA5",-0.87071989078582,32,0.417039404487738
"SevCOVID_Azimuthl2","B_naive","MEF2D",-0.862512281356444,20,0.198611262118461
"SevCOVID_Azimuthl2","B_naive","KLF9",-0.861074744045182,40,0.360175107799867
"SevCOVID_Azimuthl2","B_naive","BHLHE41",-0.843257994966992,40,0.563931343757395
"SevCOVID_Azimuthl2","B_naive","KLF13",-0.798078935628374,40,0.606159006766357
"SevCOVID_Azimuthl2","B_naive","HIF1A",-0.713454502113778,40,0.440485306290388
"SevCOVID_Azimuthl2","B_naive","RFX3",-0.709505707207109,27,0.300444029440716
"SevCOVID_Azimuthl2","B_naive","LYL1",-0.698304043789237,40,0.803140939956312
"SevCOVID_Azimuthl2","B_naive","CEBPD",-0.693285469492118,40,0.547293854617811
"SevCOVID_Azimuthl2","B_naive","XBP1",-0.659020663152157,40,0.345853215429379
"SevCOVID_Azimuthl2","B_naive","ENO1",-0.644773460611545,40,0.762077664743527
"SevCOVID_Azimuthl2","B_naive","ID2",-0.643901672185949,40,0.794235156332822
"SevCOVID_Azimuthl2","B_naive","KLF4",-0.611340053970707,40,0.830063337812195
"SevCOVID_Azimuthl2","B_naive","CEBPB",-0.603503370353546,40,0.631344125626745
"SevCOVID_Azimuthl2","B_naive","HES4",-0.584014366884731,40,0.777129431355095
"SevCOVID_Azimuthl2","B_naive","MYC",-0.55711637402227,40,-0.181758260457348
"SevCOVID_Azimuthl2","B_naive","NHLH1",-0.551649667353896,40,0.479658583202853
"SevCOVID_Azimuthl2","B_naive","BACH1",-0.545078116396736,40,0.384158628068994
"SevCOVID_Azimuthl2","B_naive","MEF2C",-0.533838724983605,40,0.375243929359182
"SevCOVID_Azimuthl2","B_naive","ZNF770",-0.503629161789033,40,0.699202661812208
"SevCOVID_Azimuthl2","B_naive","HIVEP3",1.12960460673413,40,0.197748049194997
"SevCOVID_Azimuthl2","B_naive","CTCF",1.15866931097945,40,0.226143374356297
"SevCOVID_Azimuthl2","B_naive","FOXN3",1.17687297122336,40,0.218879517065898
"SevCOVID_Azimuthl2","B_naive","IRF9",1.19604630422634,40,0.615625665603252
"SevCOVID_Azimuthl2","B_naive","NFKB2",1.23011795591457,40,0.425159497677523
"SevCOVID_Azimuthl2","B_naive","NFKB1",1.28051302725773,40,0.0812038389912153
"SevCOVID_Azimuthl2","B_naive","ZBTB1",1.28165810874142,40,0.105424965691453
"SevCOVID_Azimuthl2","B_naive","ATF5",1.42520199871774,23,-0.0666063541696343
"SevCOVID_Azimuthl2","B_naive","MYBL1",1.69646470354019,40,-0.357829277259766
"SevCOVID_Azimuthl2","B_naive","FOXO1",1.71072130030549,40,-0.0410851753161416
"SevCOVID_Azimuthl2","B_naive","PRDM1",1.82014016912844,40,0.29156576630109
"SevCOVID_Azimuthl2","B_naive","ELF1",2.03775581778954,40,0.481776885235512
"SevCOVID_Azimuthl2","B_naive","NR3C1",2.06669301277853,40,-0.0844051302058048
"SevCOVID_Azimuthl2","B_naive","CHD2",2.83916948344241,40,0.0536600983799156
"SevCOVID_Azimuthl2","cDC2","BCLAF1",-4.67397492136108,40,-0.0975300241068429
"SevCOVID_Azimuthl2","cDC2","KLF4",-4.35104608905605,40,0.919565372561597
"SevCOVID_Azimuthl2","cDC2","NR4A3",-4.33512728681561,40,0.633892146384592
"SevCOVID_Azimuthl2","cDC2","FOXC2",-4.22739553146536,40,0.606160997164852
"SevCOVID_Azimuthl2","cDC2","BHLHE40",-4.18388158597466,40,0.874130873604197
"SevCOVID_Azimuthl2","cDC2","KLF5",-4.07950634116382,40,0.535053138790889
"SevCOVID_Azimuthl2","cDC2","NR4A2",-3.98234044745614,40,0.794736466429817
"SevCOVID_Azimuthl2","cDC2","PAX5",-3.94726848356994,40,0.242547768760843
"SevCOVID_Azimuthl2","cDC2","KLF6",-3.74763076035005,40,0.91326618694081
"SevCOVID_Azimuthl2","cDC2","ID1",-3.38082381680215,40,0.372138276013358
"SevCOVID_Azimuthl2","cDC2","EGR1",-3.37139674156768,40,-0.0974660691189724
"SevCOVID_Azimuthl2","cDC2","FOS",-3.32196516693358,40,0.834324603921621
"SevCOVID_Azimuthl2","cDC2","FOXD4L1",-3.14567977395061,40,0.68967935900352
"SevCOVID_Azimuthl2","cDC2","PRDM1",-3.13136910786145,40,0.888427668526627
"SevCOVID_Azimuthl2","cDC2","HES1",-3.06879965584848,40,0.787691139283875
"SevCOVID_Azimuthl2","cDC2","HES4",-2.67804443026526,40,0.357875742691572
"SevCOVID_Azimuthl2","cDC2","LEF1",-2.61877549421809,39,0.130521471078926
"SevCOVID_Azimuthl2","cDC2","ATF5",-2.60841138077178,40,-0.0590295020932886
"SevCOVID_Azimuthl2","cDC2","FOXP3",-2.54617831078052,40,0.741804196855737
"SevCOVID_Azimuthl2","cDC2","SPIB",-2.49554467802808,40,0.334472023975507
"SevCOVID_Azimuthl2","cDC2","JUN",-2.45899892866662,40,0.944392851126683
"SevCOVID_Azimuthl2","cDC2","KLF10",-2.36666568004823,40,0.640692693428149
"SevCOVID_Azimuthl2","cDC2","MAFF",-2.35747009341815,40,0.546694850005567
"SevCOVID_Azimuthl2","cDC2","ZBTB16",-2.03954556542242,40,0.173334576902542
"SevCOVID_Azimuthl2","cDC2","ZNF563",-2.01798787811148,33,0.341468623511643
"SevCOVID_Azimuthl2","cDC2","FOXP1",-1.96516025271726,40,0.33856171703915
"SevCOVID_Azimuthl2","cDC2","HIVEP1",-1.8872680868555,40,0.58544319759712
"SevCOVID_Azimuthl2","cDC2","EGR2",-1.6368321208908,40,0.623934963868287
"SevCOVID_Azimuthl2","cDC2","IKZF1",1.83529653643991,40,0.468632077042919
"SevCOVID_Azimuthl2","cDC2","IRX5",1.85370311713909,40,-0.147431855103884
"SevCOVID_Azimuthl2","cDC2","HOXA5",1.92831746090576,40,0.255217518337094
"SevCOVID_Azimuthl2","cDC2","OSR2",1.95783861467664,40,0.26914428797256
"SevCOVID_Azimuthl2","cDC2","POU2F2",2.07826822372378,40,0.805198055844505
"SevCOVID_Azimuthl2","cDC2","NR2F2",2.13930615140058,40,-0.0987017708488978
"SevCOVID_Azimuthl2","cDC2","HESX1",2.18681949841844,40,0.533292853886645
"SevCOVID_Azimuthl2","cDC2","ZNF320",2.19405254285963,40,0.209392246790116
"SevCOVID_Azimuthl2","cDC2","NFIA",2.19668484978259,40,0.0795206040700878
"SevCOVID_Azimuthl2","cDC2","SP100",2.23009944194678,40,0.282335004220839
"SevCOVID_Azimuthl2","cDC2","MAF",2.29897467923802,40,0.330312855999444
"SevCOVID_Azimuthl2","cDC2","GATA2",2.34020307528171,40,0.0443324174699902
"SevCOVID_Azimuthl2","cDC2","ZFP28",2.36282410979088,40,0.0051776892263445
"SevCOVID_Azimuthl2","cDC2","CEBPD",2.42337820059555,26,0.591963751226518
"SevCOVID_Azimuthl2","cDC2","RORC",2.46794893795889,27,0.322192475962156
"SevCOVID_Azimuthl2","cDC2","ETS2",2.51044970218345,40,0.294538986370545
"SevCOVID_Azimuthl2","cDC2","BCL11B",2.62990941430545,40,0.383051928214333
"SevCOVID_Azimuthl2","cDC2","THRB",2.64109554041815,40,-0.111547206299566
"SevCOVID_Azimuthl2","cDC2","ID2",2.68213145887691,40,0.219573462106194
"SevCOVID_Azimuthl2","cDC2","RORA",2.71332746715973,40,0.459637264820284
"SevCOVID_Azimuthl2","cDC2","ETV7",2.71633267218185,40,0.696846695516203
"SevCOVID_Azimuthl2","cDC2","IRF9",2.8639840380682,40,0.76880195747945
"SevCOVID_Azimuthl2","cDC2","XBP1",2.89381764682003,40,0.174279816395889
"SevCOVID_Azimuthl2","cDC2","SPI1",2.9041628206432,40,-0.071877031308441
"SevCOVID_Azimuthl2","cDC2","MYB",2.95415963403602,40,0.249217741037498
"SevCOVID_Azimuthl2","cDC2","KLF9",2.96763038367952,40,-0.00396178308790289
"SevCOVID_Azimuthl2","cDC2","NKX6-1",2.98681428179791,40,0.075064121537318
"SevCOVID_Azimuthl2","cDC2","KLF13",3.12542747597948,40,-0.191719732493036
"SevCOVID_Azimuthl2","cDC2","REL",3.13419513059421,40,-0.100970079153815
"SevCOVID_Azimuthl2","cDC2","TCF7L2",3.1452101446413,40,0.140827741237358
"SevCOVID_Azimuthl2","cDC2","IRF7",3.18187316348014,40,0.958681080648953
"SevCOVID_Azimuthl2","cDC2","MITF",3.34135459947852,40,0.381026877273995
"SevCOVID_Azimuthl2","cDC2","BATF3",3.41950702795875,40,-0.115881679465595
"SevCOVID_Azimuthl2","cDC2","STAT1",3.42306915894674,40,0.928399726287879
"SevCOVID_Azimuthl2","cDC2","EHF",3.45940899680904,40,0.479288576896832
"SevCOVID_Azimuthl2","cDC2","IRF1",3.48903037133859,40,0.449055379118887
"SevCOVID_Azimuthl2","cDC2","ID3",3.58104624562169,40,-0.0887525827060764
"SevCOVID_Azimuthl2","cDC2","BHLHE41",3.58912607992016,40,-0.0378986598955592
"SevCOVID_Azimuthl2","cDC2","NR4A1",3.62346232599946,40,-0.364418185676938
"SevCOVID_Azimuthl2","cDC2","E2F7",3.77429409502152,40,0.71866505383354
"SevCOVID_Azimuthl2","cDC2","IRF4",3.78693657959722,40,0.145931387337864
"SevCOVID_Azimuthl2","cDC2","MEF2C",3.88959482780138,40,0.242156425144589
"SevCOVID_Azimuthl2","cDC2","IRF8",3.91601532432394,40,0.329982421895447
"SevCOVID_Azimuthl2","cDC2","KLF2",4.08591837357699,40,-0.0869903943795747
"SevCOVID_Azimuthl2","cDC2","KLF3",4.17963707419341,40,0.315609299740468
"SevCOVID_Azimuthl2","cDC2","ENO1",4.25314397129238,40,0.431108962358873
"SevCOVID_Azimuthl2","cDC2","MYBL1",4.27065456485116,40,0.330183232943671
"SevCOVID_Azimuthl2","cDC2","E2F2",4.46312120320619,40,0.373155274525834
"SevCOVID_Azimuthl2","cDC2","CEBPB",4.52144733331572,40,0.579920227573165
"SevCOVID_Azimuthl2","cDC2","FOSB",4.83838317871897,40,-0.0835198845764742
"SevCOVID_Azimuthl2","cDC2","E2F1",6.19623112787531,40,0.8302343398313
"SevCOVID_Azimuthl2","cDC2","STAT3",6.36940260942059,40,0.631881180768963
"SevCOVID_Azimuthl2","HSPC","FOS",-3.23566814208611,40,0.625561243699179
"SevCOVID_Azimuthl2","HSPC","RXRA",-2.18744060136804,40,0.366268996120699
"SevCOVID_Azimuthl2","HSPC","EGR2",-1.88217407924206,40,-0.180669427695328
"SevCOVID_Azimuthl2","HSPC","MAFF",-1.79163201256659,40,-0.515056410025868
"SevCOVID_Azimuthl2","HSPC","NR4A2",-1.78400247531026,40,-0.239175512635359
"SevCOVID_Azimuthl2","HSPC","JUNB",-1.67694289269842,40,-0.0405397305280982
"SevCOVID_Azimuthl2","HSPC","ZBTB7A",-1.64922816621761,40,0.59076834894607
"SevCOVID_Azimuthl2","HSPC","KLF11",-1.48987946973139,40,-0.112756364508232
"SevCOVID_Azimuthl2","HSPC","RREB1",-1.36758177859136,40,0.38315922369015
"SevCOVID_Azimuthl2","HSPC","BCLAF1",-1.3493613564449,40,0.183036157487277
"SevCOVID_Azimuthl2","HSPC","TCFL5",-1.32204515320684,40,0.570210486289451
"SevCOVID_Azimuthl2","HSPC","MYC",-1.09327814040894,40,0.78627690082962
"SevCOVID_Azimuthl2","HSPC","SMAD2",-1.05247686032716,28,0.18430709232213
"SevCOVID_Azimuthl2","HSPC","MYBL2",-1.0502544665204,40,0.232529563049419
"SevCOVID_Azimuthl2","HSPC","GABPA",-1.03007818636374,40,0.843962544417159
"SevCOVID_Azimuthl2","HSPC","MYCN",-0.929454401387416,40,0.382135545153308
"SevCOVID_Azimuthl2","HSPC","NFIB",-0.810583236622933,29,0.44661230774418
"SevCOVID_Azimuthl2","HSPC","RUNX3",-0.748979821875755,40,0.00576182100517178
"SevCOVID_Azimuthl2","HSPC","IRF8",-0.731220264268211,40,0.110423351484193
