"tf","group","regulon_val","cosine_mean_delta_vs_axis","mean_per_cell_cosine","frac_cells_negative_cosine","shift_magnitude","predicted_sign","observed_sign","sign_match","cor_score_expr","anchored_delta","weak_anchor","predicted_sign_anchored","sign_match_anchored"
"ZBTB7A","top",-6.06610101193462,-0.501451137529488,-0.500375771095638,1,4.54783520252554,1,-1,"False",-0.53207695369583,6.06610101193462,FALSE,-1,TRUE
"KLF6","top",-5.77607684476093,-0.454923454367306,-0.442661834369776,1,7.54032813712496,1,-1,"False",-0.57838896923816,5.77607684476093,FALSE,-1,TRUE
"KLF4","top",-4.9990509761125,-0.150621356249849,-0.145310947267169,1,4.67969151525,1,-1,"False",-0.233004747973974,4.9990509761125,FALSE,-1,TRUE
"STAT1","top",-2.14460821546639,-0.0117148064147813,-0.0113552377399498,0.826188016528926,2.36698482374487,1,-1,"False",0.569740782975566,-2.14460821546639,FALSE,1,FALSE
"BHLHE40","top",-4.25385319890209,0.304724864672272,0.300762364630302,0,0.73506256944362,1,1,"True",-0.251647077814088,4.25385319890209,FALSE,-1,FALSE
"ATF3","top",4.17575604843891,-0.43076348047489,-0.429574086547007,1,2.61129927251542,-1,-1,"True",0.654348586824903,4.17575604843891,FALSE,-1,TRUE
"MEF2C","top",-4.93383405449061,0.241882517567891,0.239213151634645,0,2.35334096063743,1,1,"True",-0.0745193926865487,4.93383405449061,TRUE,-1,FALSE
"BCL11A","top",-3.87911433891795,0.213516000859434,0.213514771579399,0,0.553782915912876,1,1,"True",0.249604135424563,-3.87911433891795,FALSE,1,TRUE
"EGR1","top",-5.47940896429929,-0.00992710695661799,-0.00684611328208404,0.784349173553719,0.961989661576624,1,-1,"False",-0.213470240788926,5.47940896429929,FALSE,-1,TRUE
"STAT3","top",3.36644032587336,-0.17770268949321,-0.176471705032044,1,1.76399644068055,-1,-1,"True",0.208044173679843,3.36644032587336,FALSE,-1,TRUE
"FOXP3","bottom",-1.0348909063427,0.0010551798587738,0.000146068409099321,0,0.00207767742424143,1,1,"True",0.057988859559163,-1.0348909063427,TRUE,1,TRUE
"KLF10","bottom",-1.32213783831099,-0.0820901675216156,-0.0821269754165637,1,0.647536254679585,1,-1,"False",0.0847504677465568,-1.32213783831099,TRUE,1,FALSE
"RORA","bottom",-1.92824084573255,-0.00205990488871445,-0.00227505729082616,0.731921487603306,0.086502313981896,1,-1,"False",-0.261426812855999,1.92824084573255,FALSE,-1,TRUE
"ITGB2","bottom",1.82235852960895,-0.00506894144612647,-0.00511521076992772,0.966942148760331,4.30123148006871,-1,-1,"True",0.107787263401262,1.82235852960895,TRUE,-1,TRUE
"RARG","bottom",-0.818183669057161,0.00658089115992959,0.00326155220452091,0,0.00666734374130833,1,1,"True",0.0914342780597715,-0.818183669057161,TRUE,1,TRUE
"TFEC","bottom",1.55663649929203,-0.0437625704099838,-0.0432087568898163,0.987345041322314,0.0784537389874221,-1,-1,"True",0.0596429424103617,1.55663649929203,TRUE,-1,TRUE
"XBP1","bottom",-0.806334658633661,0.116700188692846,0.115286915003282,0,0.528955986332909,1,1,"True",0.149730130231274,-0.806334658633661,TRUE,1,TRUE
"AHR","bottom",-1.3373337925442,0.0539596038975163,0.0539596038975163,0,0.24290852041581,1,1,"True",0.188851043554924,-1.3373337925442,TRUE,1,TRUE
"ETS1","random",NA,-0.0449316462919878,-0.0549341042467184,0.994318181818182,0.326252678191872,NA,-1,"False",NA,NA,NA,NA,NA
"TCF4","random",NA,-0.0754483037770428,-0.0676397240788958,1,0.157507039675737,NA,-1,"False",NA,NA,NA,NA,NA
"YBX1","random",NA,-0.00625476895446226,-0.00625724105792347,1,5.53340790470032,NA,-1,"False",NA,NA,NA,NA,NA
"SPIC","random",NA,-0.0349646067313484,-0.0106394655829087,0.310433884297521,0.0184901151086589,NA,-1,"False",NA,NA,NA,NA,NA
"NFAT5","random",NA,-0.0489005917152317,-0.0488933026896617,1,0.465615096528306,NA,-1,"False",NA,NA,NA,NA,NA
"ID2","random",NA,0.0238174467185173,0.023698830280546,0,2.00414068942143,NA,1,"False",NA,NA,NA,NA,NA
"HOXA5","random",NA,0.0349428088796617,0.0193920402155949,0.000774793388429752,0.00805106074148899,NA,1,"False",NA,NA,NA,NA,NA
"MBD2","random",NA,0.231491110883986,0.231395674560793,0,6.74889076220354,NA,1,"False",NA,NA,NA,NA,NA
"ELF1","random",NA,0.0384158204915834,0.0384701870152363,0,2.31145875538255,NA,1,"False",NA,NA,NA,NA,NA
"BCL6","random",NA,-0.0125352436321221,-0.0125058111693406,1,0.324321717107865,NA,-1,"False",NA,NA,NA,NA,NA
