tf,group,regulon_val,cosine_mean_delta_vs_axis,shift_magnitude,error
ZBTB7A,check,-6.06610101193462,-0.5014511375294881,4.547835202525544,
IRF1,imp_only,1.41828715051526,0.021704544283446578,3.3822038623824047,
STAT2,imp_only,-0.858284695103929,0.0432417689987256,0.7661637239626619,
NFATC2,imp_only,-0.937360965755036,0.03774630030854595,0.11227961986136631,
JUND,imp_only,2.55458467668218,0.0025108592066504388,9.230624663403853,
ETS2,imp_only,1.47038712229781,-0.18067956284146663,1.522769894136705,
JUN,imp_only,2.25201328357832,0.12724766505420188,1.7951219281036288,
EGR2,imp_only,-1.56830108094275,-0.014308123596742958,0.039147523239351854,
HES4,dtf_only,4.68116930055205,-0.4439249821046766,3.0104597702933225,
NR4A2,dtf_only,-4.3709791080618,0.1584075129807312,1.2202566277987796,
E2F5,dtf_only,,,,not simulable
FOXL2,dtf_only,,,,not simulable
EGR3,dtf_only,-4.2593275534823,-0.02543535938092465,0.0569401720606359,
