"ko","panel","kind","anchor_pair","n_pairs_zeroed","tf","dz","dz_severe","anchor_sign","weak_anchor","expr_dir"
"receptorKO:ITGB2","top","receptor","HP-ITGB2",2,"KLF10",-0.00803401029977562,-0.00778581072683623,1,TRUE,-1
"receptorKO:ITGB2","top","receptor","HP-ITGB2",2,"ZBTB7C",-0.00755651631055518,0.00486602220406434,1,TRUE,-1
"receptorKO:ITGB2","top","receptor","HP-ITGB2",2,"FOXP3",0.0512540149331851,0.0384368895547668,1,TRUE,1
"receptorKO:ITGB2","top","receptor","HP-ITGB2",2,"NFATC2",0.0170549193848387,-0.00389193642090443,1,FALSE,1
"receptorKO:ITGB2","top","receptor","HP-ITGB2",2,"STAT2",-0.0355874548317744,-0.030872267380776,1,FALSE,-1
"receptorKO:ITGB2","top","receptor","HP-ITGB2",2,"RARG",-0.00682456343807068,-0.00489579037683804,1,TRUE,-1
"receptorKO:ITGB2","top","receptor","HP-ITGB2",2,"XBP1",-0.0223972311231361,-0.0450205601930573,1,TRUE,-1
"receptorKO:ITGB2","top","receptor","HP-ITGB2",2,"REL",-0.0927222563742992,-0.144867429894829,1,TRUE,-1
"receptorKO:ITGB2","top","receptor","HP-ITGB2",2,"POU2F2",-0.0984360214515271,-0.145558460566227,-1,FALSE,1
"receptorKO:ITGB2","top","receptor","HP-ITGB2",2,"IRF1",-0.054923503097465,-0.0926009761233712,1,TRUE,-1
"receptorKO:ITGB2","top","receptor","HP-ITGB2",2,"ETS2",-0.0933600934818061,-0.146072388121146,1,FALSE,-1
"receptorKO:ITGB2","top","receptor","HP-ITGB2",2,"TFEC",-0.0747209279020416,-0.175405174900788,1,TRUE,-1
"receptorKO:ITGB2","top","receptor","HP-ITGB2",2,"ITGB2",-0.0910701855519661,-0.105259248212662,1,TRUE,-1
"receptorKO:ITGB2","top","receptor","HP-ITGB2",2,"POU2F1",-0.0163076810859317,-0.144750189405313,1,FALSE,-1
"receptorKO:ITGB2","top","receptor","HP-ITGB2",2,"JUN",-0.0676338284557837,-0.119442300922686,1,TRUE,-1
"receptorKO:ITGB2","top","receptor","HP-ITGB2",2,"CUX1",-0.0868444573238405,-0.13028719611393,-1,TRUE,1
"receptorKO:ITGB2","top","receptor","HP-ITGB2",2,"PLAG1",0.0550422146146923,0.0231200400534207,-1,TRUE,-1
"receptorKO:ITGB2","top","receptor","HP-ITGB2",2,"JUND",-0.101201168367783,-0.192483226376703,1,TRUE,-1
"receptorKO:ITGB2","top","receptor","HP-ITGB2",2,"FOSL2",-0.184852094520732,-0.340009615595326,1,FALSE,-1
"receptorKO:ITGB2","top","receptor","HP-ITGB2",2,"NR1D1",-0.178770687406141,-0.310229819358709,1,FALSE,-1
"receptorKO:ITGB2","top","receptor","HP-ITGB2",2,"ZFY",0.146613129607275,0.00375053920843771,1,TRUE,1
"receptorKO:ITGB2","top","receptor","HP-ITGB2",2,"FOSB",-0.232828730005263,-0.3256101285214,-1,FALSE,1
"receptorKO:ITGB2","top","receptor","HP-ITGB2",2,"NR4A1",-0.178844707116018,-0.3465347788249,1,TRUE,-1
"receptorKO:ITGB2","top","receptor","HP-ITGB2",2,"ATF4",0.052058853170934,-0.0449633395387006,1,FALSE,1
"receptorKO:ITGB2","top","receptor","HP-ITGB2",2,"NFIL3",-0.21048385017454,-0.371903855392841,1,FALSE,-1
"receptorKO:ITGB2","top","receptor","HP-ITGB2",2,"STAT3",-0.213924671192658,-0.369652539778397,1,FALSE,-1
"receptorKO:ITGB2","top","receptor","HP-ITGB2",2,"NFE2",-0.273962929277327,-0.46673359327034,1,TRUE,-1
"receptorKO:ITGB2","top","receptor","HP-ITGB2",2,"MXI1",-0.252829877150074,-0.457398941786013,1,TRUE,-1
"receptorKO:ITGB2","top","receptor","HP-ITGB2",2,"HIF1A",-0.362055627101643,-0.649890634742833,1,FALSE,-1
"receptorKO:ITGB2","top","receptor","HP-ITGB2",2,"NFKB2",-0.198686604428331,-0.355871216461306,1,FALSE,-1
"receptorKO:ITGB2","top","receptor","HP-ITGB2",2,"ATF3",-0.167877302717251,-0.243934476097021,1,FALSE,-1
"receptorKO:ITGB2","top","receptor","HP-ITGB2",2,"HES4",-0.0911980884828985,-0.206747611166854,1,FALSE,-1
"ligandKO:HP","top","ligand","HP-ITGB2",1,"ZBTB7A",0.169443912711657,0.324337770146216,-1,FALSE,-1
"ligandKO:HP","top","ligand","HP-ITGB2",1,"KLF6",0.201199276660286,0.379119839233293,-1,FALSE,-1
"ligandKO:HP","top","ligand","HP-ITGB2",1,"EGR1",0.281911624946278,0.520871540054338,-1,FALSE,-1
"ligandKO:HP","top","ligand","HP-ITGB2",1,"KLF4",0.138282627430879,0.267318215440152,-1,FALSE,-1
"ligandKO:HP","top","ligand","HP-ITGB2",1,"MEF2C",0.193246108274905,0.367580023830658,-1,TRUE,-1
"ligandKO:HP","top","ligand","HP-ITGB2",1,"NR4A2",0.182729224149999,0.34070953328507,1,TRUE,1
"ligandKO:HP","top","ligand","HP-ITGB2",1,"E2F5",0.260620612544269,0.471490527350398,1,TRUE,1
"ligandKO:HP","top","ligand","HP-ITGB2",1,"FOXL2",0.119410357074101,0.23701118008988,NA,FALSE,NA
"ligandKO:HP","top","ligand","HP-ITGB2",1,"EGR3",0.262570894532634,0.456961703852511,-1,TRUE,-1
"ligandKO:HP","top","ligand","HP-ITGB2",1,"BHLHE40",0.192842571506512,0.375466487023414,-1,FALSE,-1
"ligandKO:HP","top","ligand","HP-ITGB2",1,"RUNX3",0.231948417142449,0.416510034042102,-1,FALSE,-1
"ligandKO:HP","top","ligand","HP-ITGB2",1,"RAD21",0.046295628643831,0.0662001977555988,1,TRUE,1
"ligandKO:HP","top","ligand","HP-ITGB2",1,"BCL11A",0.00140747478191196,0.000119065458189249,1,FALSE,1
"ligandKO:HP","top","ligand","HP-ITGB2",1,"GTF2I",0.280592854683915,0.484694231949583,1,TRUE,1
"ligandKO:HP","top","ligand","HP-ITGB2",1,"CREB1",0.163169896386702,0.290168239780323,1,TRUE,1
"ligandKO:HP","top","ligand","HP-ITGB2",1,"ELF2",0.00582440330584799,0.0180948880959429,-1,FALSE,-1
"ligandKO:HP","top","ligand","HP-ITGB2",1,"MAFB",0.0607203936112651,0.12144799711464,-1,TRUE,-1
"ligandKO:HP","top","ligand","HP-ITGB2",1,"KLF2",0.0638975485715782,0.106352256411253,-1,FALSE,-1
"ligandKO:HP","top","ligand","HP-ITGB2",1,"ATF5",0.0262756409305726,0.0478956150311094,1,FALSE,1
"ligandKO:HP","top","ligand","HP-ITGB2",1,"IRF8",-0.00623608491844341,-0.00210361873444454,1,FALSE,-1
"ligandKO:HP","top","ligand","HP-ITGB2",1,"BDP1",0.0179614998899938,0.0476000738352196,1,TRUE,1
"ligandKO:HP","top","ligand","HP-ITGB2",1,"CREB5",-0.00542245203473982,-0.00971776289563715,1,FALSE,-1
"ligandKO:HP","top","ligand","HP-ITGB2",1,"CEBPD",0.0912768477861108,0.170320884067428,1,FALSE,1
"ligandKO:HP","top","ligand","HP-ITGB2",1,"HIVEP1",0.0405947688169233,0.0828562052133827,-1,TRUE,-1
"ligandKO:HP","top","ligand","HP-ITGB2",1,"ETV7",0.040561536738262,0.0653548398405579,-1,TRUE,-1
"ligandKO:HP","top","ligand","HP-ITGB2",1,"POU4F1",0.025811008999523,0.0584953523855637,-1,TRUE,-1
"ligandKO:HP","top","ligand","HP-ITGB2",1,"ID1",0.0111090146304318,0.024310181487339,1,FALSE,1
"ligandKO:HP","top","ligand","HP-ITGB2",1,"HOXB2",0.0238303980692443,0.0244858711052662,1,TRUE,1
"ligandKO:HP","top","ligand","HP-ITGB2",1,"SPI1",0.0121634493598208,0.0228451821803072,-1,TRUE,-1
"ligandKO:HP","top","ligand","HP-ITGB2",1,"BCLAF1",0.00169970212430834,0.0133370122631572,-1,FALSE,-1
"ligandKO:HP","top","ligand","HP-ITGB2",1,"STAT1",0.00185352867871782,0.00537581863659399,1,FALSE,1
"ligandKO:HP","top","ligand","HP-ITGB2",1,"TCF7L2",0.0199435605917081,0.0397292057694886,-1,FALSE,-1
"ligandKO:HP","top","ligand","HP-ITGB2",1,"BRCA1",0.0603464463436471,0.120685853847177,1,TRUE,1
"ligandKO:HP","top","ligand","HP-ITGB2",1,"CEBPB",-0.00218866694508855,0.00343478212784406,1,FALSE,-1
"ligandKO:HP","top","ligand","HP-ITGB2",1,"RORA",0.0357230314075445,0.0726860912071142,-1,FALSE,-1
"ligandKO:HP","top","ligand","HP-ITGB2",1,"ZBTB14",0.0421143542869541,0.063756809784476,-1,TRUE,-1
"ligandKO:HP","top","ligand","HP-ITGB2",1,"EGR2",0.0680082508953752,0.0834457195721652,-1,TRUE,-1
"ligandKO:HP","top","ligand","HP-ITGB2",1,"IRF9",-0.0164832312323865,-0.0291704261109194,1,TRUE,-1
"ligandKO:HP","top","ligand","HP-ITGB2",1,"FOXC1",0.0100424558785038,0.00267012972550421,1,TRUE,1
"ligandKO:HP","top","ligand","HP-ITGB2",1,"FOXP1",0.00824765936417218,0.0218248965500682,-1,TRUE,-1
"ligandKO:HP","top","ligand","HP-ITGB2",1,"ESR1",-0.00774671082734397,-0.0194322521428593,1,TRUE,-1
"ligandKO:HP","top","ligand","HP-ITGB2",1,"AHR",-0.015037376868836,-0.0307606967817883,1,TRUE,-1
"ligandKO:HP","top","ligand","HP-ITGB2",1,"KLF10",0.0103004864387705,0.0108927025236787,1,TRUE,1
"ligandKO:HP","top","ligand","HP-ITGB2",1,"ZBTB7C",0.0164608366222001,0.025109215529886,1,TRUE,1
"ligandKO:HP","top","ligand","HP-ITGB2",1,"FOXP3",0.051591126303782,0.0449647320810265,1,TRUE,1
"ligandKO:HP","top","ligand","HP-ITGB2",1,"NFATC2",0.0171199026849864,0.00404818815973238,1,FALSE,1
"ligandKO:HP","top","ligand","HP-ITGB2",1,"STAT2",-0.00544609325818273,-0.00742077342703427,1,FALSE,-1
"ligandKO:HP","top","ligand","HP-ITGB2",1,"RARG",0.00493639974149628,0.00261590940289545,1,TRUE,1
"ligandKO:HP","top","ligand","HP-ITGB2",1,"XBP1",-0.0147131797858259,-0.036433626726183,1,TRUE,-1
