"regulon","regulon_val","mean_abs_score","max_abs_score","top_edge","in_grn"
"ZBTB7A",-6.06610101193462,0.978154871075951,20.231675212282,"HP-ITGB2",TRUE
"KLF6",-5.77607684476093,0.874655491242291,21.4609372456958,"SIGLEC1-SPN",TRUE
"KLF4",-4.9990509761125,0.857926476316225,18.2250575617273,"SIGLEC1-SPN",TRUE
"STAT1",-2.14460821546639,0.788859027863408,12.447232544536,"HLA-A-APLP2",TRUE
"BHLHE40",-4.25385319890209,0.770642034167581,18.584782152001,"HP-ITGB2",TRUE
"ATF3",4.17575604843891,0.742478213701835,10.0149088090831,"HP-ITGB2",TRUE
"MEF2C",-4.93383405449061,0.738920125386214,14.7350648424561,"HP-ITGB2",TRUE
"BCL11A",-3.87911433891795,0.707920863426304,21.2917803423343,"APP-CD74",TRUE
"EGR1",-5.47940896429929,0.669469915927814,17.2105923098342,"SIGLEC1-SPN",TRUE
"STAT3",3.36644032587336,0.644531019448963,12.7570930704919,"HP-ITGB2",TRUE
"HES4",4.68116930055205,0.641152987013331,10.7648864107123,"CD38-PECAM1",TRUE
"RAD21",-3.94441328664275,0.58670156301502,5.30903687046193,"SIGLEC1-SPN",TRUE
"FOXL2",-4.32245976195484,0.544360900065282,9.12328273626292,"SIGLEC1-SPN",TRUE
"JUND",2.55458467668218,0.543228835692247,8.87908993982112,"HLA-A-APLP2",TRUE
"CREB1",-3.70616115018094,0.541394415391397,13.9360338842548,"LAMB2-RPSA",TRUE
"MXI1",3.57215565184276,0.528600359376078,9.63784496886052,"HP-ITGB2",TRUE
"E2F5",-4.33380895087073,0.515197477799048,14.9473337367856,"HP-ITGB2",TRUE
"NFE2",3.48069924882969,0.500186940569092,8.81921873429126,"HP-ITGB2",TRUE
"NR4A2",-4.3709791080618,0.465302455729445,9.52020703029485,"HP-ITGB2",TRUE
"NFKB2",4.06317304024735,0.45979745389097,7.0377423312428,"HP-ITGB2",TRUE
"IRF1",1.41828715051526,0.451078382014884,11.0888810803743,"ENAM-CD63",TRUE
"JUN",2.25201328357832,0.448929187509149,11.4309721420132,"ENAM-CD63",TRUE
"FOSB",2.89930538176271,0.447183170156924,12.9732750183928,"ENAM-CD63",TRUE
"FOSL2",2.56943020917177,0.424598468213627,7.09047368275202,"ENAM-CD63",TRUE
"EGR3",-4.2593275534823,0.422180477374257,9.20374370502305,"HP-ITGB2",TRUE
"KLF2",-3.30050548275014,0.396908486256624,5.39031680098064,"GNAI2-FPR1",TRUE
"MAFB",-3.47436448009788,0.392323556634431,7.34931752991357,"SIGLEC1-SPN",TRUE
"GTF2I",-3.87071620725376,0.378434667389296,8.15590448849663,"HP-ITGB2",TRUE
"TCF7L2",-2.14254629492978,0.376787674641565,6.93481175118777,"GNAI2-FPR1",TRUE
"IRF8",-2.91484155251794,0.361055243817792,15.1810356757615,"APP-CD74",TRUE
"HIF1A",3.92107203393769,0.345784641455707,9.25432671453395,"HP-ITGB2",TRUE
"BCLAF1",-2.2529321827486,0.340961009040855,5.60279008517399,"HLA-A-APLP2",TRUE
"ELF2",-3.5126021138151,0.324133986940093,5.17628925681992,"SIGLEC1-SPN",TRUE
"CREB5",-2.58981279489571,0.321825414812023,11.4243288187988,"APP-CD74",TRUE
"ETS2",1.47038712229781,0.311254371013877,6.18647225311905,"ENAM-CD63",TRUE
"RUNX3",-4.11045857132396,0.307416557297473,7.7284673249341,"HP-ITGB2",TRUE
"CEBPB",-2.05982277486568,0.302147199904218,4.25900241784488,"CD2-CD48",TRUE
"BDP1",-2.84950016749768,0.295968662841647,4.63495335312611,"CD38-PECAM1",TRUE
"NR4A1",2.9436631062885,0.295332498365859,5.68949022095283,"HP-ITGB2",TRUE
"ATF4",3.12747387337358,0.29247167462831,8.09462209837329,"CD38-PECAM1",TRUE
"ID1",-2.45018343833503,0.288418369589061,5.60027217098617,"COL1A1-CD36",TRUE
"EGR2",-1.56830108094275,0.287862572059827,4.82664383861322,"HLA-A-APLP2",TRUE
"ATF5",-3.14426807767573,0.27391163766824,6.32790912551391,"APP-CD74",TRUE
"CUX1",2.32220223099036,0.273099594479195,4.0406457549211,"LRPAP1-LDLR",TRUE
"CEBPD",-2.54631986068557,0.26739322378118,4.54604950342412,"SIGLEC1-SPN",TRUE
"SPI1",-2.35493135866231,0.262788949977585,4.57674917660321,"APP-CD74",TRUE
"HIVEP1",-2.54387587462864,0.258385708827373,5.83419827344146,"HLA-F-LILRB2",TRUE
"ETV7",-2.53757211306224,0.257923347058086,6.31945026618905,"LAMB2-RPSA",TRUE
"POU4F1",-2.52298739884744,0.256617079121281,3.90751559591622,"C3-C3AR1",TRUE
"PLAG1",2.47215495272281,0.255093240982863,4.58987883082428,"GNAI2-FPR1",TRUE
"STAT2",-0.858284695103929,0.254610584615307,5.22116456853423,"HLA-A-APLP2",TRUE
"POU2F1",1.85247279373667,0.247505674172323,3.10372121607542,"HLA-F-LILRB2",TRUE
