p_val,avg_logFC,Severe/Mod (pct cell expr),Healthy (pct cells expr),p_val_adj,comp,gene,clust,pt,seurat_clusters,final
0,0.720749448,0.387,0.014,0,severe-mod_vs_Healthy_clust_0,JCHAIN,0,severe-mod,0,CD4
0,-0.269607358,0.998,0.999,0,severe-mod_vs_Healthy_clust_0,TPT1,0,severe-mod,0,CD4
2.05E-258,-0.321781085,0.997,1,6.88E-254,severe-mod_vs_Healthy_clust_0,MT-ND1,0,severe-mod,0,CD4
6.28E-254,-0.277941281,0.998,1,2.11E-249,severe-mod_vs_Healthy_clust_0,MT-ATP6,0,severe-mod,0,CD4
6.42E-231,-0.356915305,0.987,1,2.15E-226,severe-mod_vs_Healthy_clust_0,MT-ND3,0,severe-mod,0,CD4
1.91E-221,-0.302652813,0.998,0.999,6.41E-217,severe-mod_vs_Healthy_clust_0,RPL13A,0,severe-mod,0,CD4
6.81E-221,-0.336516956,0.955,0.988,2.28E-216,severe-mod_vs_Healthy_clust_0,TOMM7,0,severe-mod,0,CD4
2.40E-213,0.506082975,0.266,0.046,8.03E-209,severe-mod_vs_Healthy_clust_0,IFI44L,0,severe-mod,0,CD4
2.75E-207,-0.270404157,0.999,1,9.24E-203,severe-mod_vs_Healthy_clust_0,MT-CYB,0,severe-mod,0,CD4
1.37E-200,-0.355164002,0.987,0.999,4.58E-196,severe-mod_vs_Healthy_clust_0,MT-ND2,0,severe-mod,0,CD4
1.60E-176,-0.294200413,0.985,0.996,5.35E-172,severe-mod_vs_Healthy_clust_0,RPS11,0,severe-mod,0,CD4
3.02E-171,-0.351884562,0.985,0.994,1.01E-166,severe-mod_vs_Healthy_clust_0,RPS20,0,severe-mod,0,CD4
9.49E-161,0.399147885,0.906,0.812,3.18E-156,severe-mod_vs_Healthy_clust_0,ETS1,0,severe-mod,0,CD4
3.71E-153,-0.365742619,0.976,0.99,1.24E-148,severe-mod_vs_Healthy_clust_0,RPL27A,0,severe-mod,0,CD4
1.40E-144,0.342861042,0.989,0.989,4.71E-140,severe-mod_vs_Healthy_clust_0,TXNIP,0,severe-mod,0,CD4
3.53E-134,-0.43306582,0.613,0.809,1.18E-129,severe-mod_vs_Healthy_clust_0,ANXA1,0,severe-mod,0,CD4
6.84E-133,-0.354956559,0.693,0.885,2.30E-128,severe-mod_vs_Healthy_clust_0,DUSP1,0,severe-mod,0,CD4
2.60E-125,0.375627489,0.863,0.759,8.72E-121,severe-mod_vs_Healthy_clust_0,RIPOR2,0,severe-mod,0,CD4
8.29E-120,0.361264356,0.835,0.703,2.78E-115,severe-mod_vs_Healthy_clust_0,MBNL1,0,severe-mod,0,CD4
6.02E-119,-0.717303554,0.099,0.312,2.02E-114,severe-mod_vs_Healthy_clust_0,RPS4Y1,0,severe-mod,0,CD4
5.45E-114,-0.392390359,0.233,0.468,1.83E-109,severe-mod_vs_Healthy_clust_0,IER5,0,severe-mod,0,CD4
5.71E-114,0.453866173,0.563,0.361,1.91E-109,severe-mod_vs_Healthy_clust_0,HIST1H1E,0,severe-mod,0,CD4
9.51E-109,0.42436901,0.674,0.503,3.19E-104,severe-mod_vs_Healthy_clust_0,BCL2,0,severe-mod,0,CD4
2.29E-105,0.356211665,0.668,0.484,7.68E-101,severe-mod_vs_Healthy_clust_0,DDX6,0,severe-mod,0,CD4
1.34E-103,0.500714793,0.564,0.379,4.48E-99,severe-mod_vs_Healthy_clust_0,SOCS3,0,severe-mod,0,CD4
4.31E-100,-0.396198887,0.31,0.52,1.45E-95,severe-mod_vs_Healthy_clust_0,RGCC,0,severe-mod,0,CD4
6.49E-96,0.414793909,0.626,0.432,2.18E-91,severe-mod_vs_Healthy_clust_0,XIST,0,severe-mod,0,CD4
1.35E-95,-0.36631795,0.959,0.979,4.51E-91,severe-mod_vs_Healthy_clust_0,RPS26,0,severe-mod,0,CD4
8.10E-95,-0.360277649,0.492,0.691,2.72E-90,severe-mod_vs_Healthy_clust_0,TNFAIP3,0,severe-mod,0,CD4
1.43E-92,0.35054659,0.696,0.533,4.80E-88,severe-mod_vs_Healthy_clust_0,RNF213,0,severe-mod,0,CD4
4.96E-92,0.35896816,0.816,0.724,1.66E-87,severe-mod_vs_Healthy_clust_0,STK17B,0,severe-mod,0,CD4
1.78E-90,0.357259882,0.783,0.661,5.96E-86,severe-mod_vs_Healthy_clust_0,SELL,0,severe-mod,0,CD4
9.05E-85,0.39975798,0.386,0.215,3.04E-80,severe-mod_vs_Healthy_clust_0,XAF1,0,severe-mod,0,CD4
9.80E-84,0.367777916,0.467,0.286,3.29E-79,severe-mod_vs_Healthy_clust_0,MYC,0,severe-mod,0,CD4
4.04E-82,0.264195787,0.882,0.806,1.35E-77,severe-mod_vs_Healthy_clust_0,HNRNPU,0,severe-mod,0,CD4
8.58E-80,0.342064956,0.461,0.288,2.88E-75,severe-mod_vs_Healthy_clust_0,TXK,0,severe-mod,0,CD4
1.78E-79,0.318417603,0.756,0.65,5.97E-75,severe-mod_vs_Healthy_clust_0,TRA2B,0,severe-mod,0,CD4
8.12E-79,0.329552816,0.722,0.577,2.72E-74,severe-mod_vs_Healthy_clust_0,SMCHD1,0,severe-mod,0,CD4
1.44E-77,0.262958052,0.961,0.876,4.82E-73,severe-mod_vs_Healthy_clust_0,IL32,0,severe-mod,0,CD4
3.90E-74,0.339702919,0.672,0.525,1.31E-69,severe-mod_vs_Healthy_clust_0,PRMT2,0,severe-mod,0,CD4
4.29E-73,0.28273257,0.831,0.747,1.44E-68,severe-mod_vs_Healthy_clust_0,DDX24,0,severe-mod,0,CD4
2.30E-70,0.305417048,0.667,0.523,7.70E-66,severe-mod_vs_Healthy_clust_0,EPB41,0,severe-mod,0,CD4
1.46E-69,0.286188688,0.722,0.602,4.89E-65,severe-mod_vs_Healthy_clust_0,SFPQ,0,severe-mod,0,CD4
2.94E-69,0.255311455,0.846,0.766,9.84E-65,severe-mod_vs_Healthy_clust_0,ARGLU1,0,severe-mod,0,CD4
7.22E-68,-0.276467717,0.665,0.794,2.42E-63,severe-mod_vs_Healthy_clust_0,CXCR4,0,severe-mod,0,CD4
3.15E-67,0.260983043,0.794,0.69,1.06E-62,severe-mod_vs_Healthy_clust_0,SRRM2,0,severe-mod,0,CD4
1.46E-66,0.276406258,0.795,0.691,4.88E-62,severe-mod_vs_Healthy_clust_0,PRRC2C,0,severe-mod,0,CD4
3.08E-66,0.408679723,0.565,0.44,1.03E-61,severe-mod_vs_Healthy_clust_0,ARID5B,0,severe-mod,0,CD4
1.15E-64,0.31566524,0.719,0.606,3.86E-60,severe-mod_vs_Healthy_clust_0,HNRNPH1,0,severe-mod,0,CD4
5.55E-63,0.304443008,0.9,0.868,1.86E-58,severe-mod_vs_Healthy_clust_0,MTRNR2L12,0,severe-mod,0,CD4
2.77E-61,0.276635155,0.649,0.515,9.30E-57,severe-mod_vs_Healthy_clust_0,STAT3,0,severe-mod,0,CD4
3.22E-61,0.313537345,0.571,0.427,1.08E-56,severe-mod_vs_Healthy_clust_0,PIM1,0,severe-mod,0,CD4
3.98E-60,0.340542994,0.44,0.286,1.34E-55,severe-mod_vs_Healthy_clust_0,ITGA4,0,severe-mod,0,CD4
3.59E-58,0.285550714,0.694,0.573,1.20E-53,severe-mod_vs_Healthy_clust_0,ATM,0,severe-mod,0,CD4
2.41E-57,0.279561056,0.61,0.462,8.07E-53,severe-mod_vs_Healthy_clust_0,PRPF4B,0,severe-mod,0,CD4
2.58E-56,0.289535819,0.592,0.465,8.64E-52,severe-mod_vs_Healthy_clust_0,OXNAD1,0,severe-mod,0,CD4
3.15E-56,0.259097206,0.275,0.145,1.06E-51,severe-mod_vs_Healthy_clust_0,MX1,0,severe-mod,0,CD4
3.77E-56,0.252403087,0.824,0.749,1.27E-51,severe-mod_vs_Healthy_clust_0,PIK3IP1,0,severe-mod,0,CD4
4.34E-56,0.299438479,0.702,0.605,1.45E-51,severe-mod_vs_Healthy_clust_0,LY6E,0,severe-mod,0,CD4
1.23E-55,0.287370686,0.426,0.283,4.14E-51,severe-mod_vs_Healthy_clust_0,PDE3B,0,severe-mod,0,CD4
3.20E-54,0.286660932,0.623,0.513,1.07E-49,severe-mod_vs_Healthy_clust_0,DDX21,0,severe-mod,0,CD4
1.82E-53,0.261184853,0.441,0.296,6.11E-49,severe-mod_vs_Healthy_clust_0,NORAD,0,severe-mod,0,CD4
2.20E-52,-0.295819279,0.807,0.875,7.39E-48,severe-mod_vs_Healthy_clust_0,S100A4,0,severe-mod,0,CD4
5.90E-52,0.262337971,0.775,0.695,1.98E-47,severe-mod_vs_Healthy_clust_0,IKZF1,0,severe-mod,0,CD4
1.36E-51,0.286742068,0.454,0.315,4.56E-47,severe-mod_vs_Healthy_clust_0,IL6ST,0,severe-mod,0,CD4
1.47E-51,0.268572165,0.639,0.519,4.94E-47,severe-mod_vs_Healthy_clust_0,LEF1,0,severe-mod,0,CD4
2.02E-51,0.290108811,0.456,0.316,6.79E-47,severe-mod_vs_Healthy_clust_0,SATB1,0,severe-mod,0,CD4
1.90E-50,-0.257213535,0.626,0.749,6.37E-46,severe-mod_vs_Healthy_clust_0,SRGN,0,severe-mod,0,CD4
3.38E-50,0.299371571,0.685,0.591,1.13E-45,severe-mod_vs_Healthy_clust_0,CYLD,0,severe-mod,0,CD4
3.64E-50,0.258624243,0.66,0.536,1.22E-45,severe-mod_vs_Healthy_clust_0,NKTR,0,severe-mod,0,CD4
4.36E-47,0.252451262,0.68,0.56,1.46E-42,severe-mod_vs_Healthy_clust_0,SAMHD1,0,severe-mod,0,CD4
1.67E-46,-0.301930999,0.706,0.789,5.60E-42,severe-mod_vs_Healthy_clust_0,NFKBIA,0,severe-mod,0,CD4
9.79E-45,0.266615927,0.412,0.282,3.28E-40,severe-mod_vs_Healthy_clust_0,NFKBIZ,0,severe-mod,0,CD4
1.28E-44,0.250690362,0.299,0.183,4.28E-40,severe-mod_vs_Healthy_clust_0,EIF2AK2,0,severe-mod,0,CD4
3.47E-44,0.252800769,0.666,0.557,1.16E-39,severe-mod_vs_Healthy_clust_0,TNRC6B,0,severe-mod,0,CD4
2.06E-43,0.252601805,0.464,0.333,6.92E-39,severe-mod_vs_Healthy_clust_0,MDM4,0,severe-mod,0,CD4
1.55E-41,0.290112716,0.332,0.218,5.19E-37,severe-mod_vs_Healthy_clust_0,GPRIN3,0,severe-mod,0,CD4
4.46E-41,0.252536622,0.508,0.387,1.50E-36,severe-mod_vs_Healthy_clust_0,CHD2,0,severe-mod,0,CD4
1.24E-40,0.257727235,0.672,0.556,4.15E-36,severe-mod_vs_Healthy_clust_0,SYNE2,0,severe-mod,0,CD4
1.51E-37,0.268709297,0.597,0.507,5.06E-33,severe-mod_vs_Healthy_clust_0,TRAT1,0,severe-mod,0,CD4
1.28E-29,0.283033961,0.521,0.404,4.30E-25,severe-mod_vs_Healthy_clust_0,MTRNR2L8,0,severe-mod,0,CD4
6.00E-27,-0.275679638,0.252,0.354,2.01E-22,severe-mod_vs_Healthy_clust_0,LGALS1,0,severe-mod,0,CD4
0,1.310422035,0.452,0.012,0,severe-mod_vs_Healthy_clust_1,IFI44L,1,severe-mod,1,NK
0,1.117463819,0.593,0.111,0,severe-mod_vs_Healthy_clust_1,IFITM3,1,severe-mod,1,NK
0,1.025444329,0.473,0.01,0,severe-mod_vs_Healthy_clust_1,JCHAIN,1,severe-mod,1,NK
0,-0.898590852,0.962,0.999,0,severe-mod_vs_Healthy_clust_1,MT-ND3,1,severe-mod,1,NK
4.98E-287,0.951178368,0.472,0.083,1.67E-282,severe-mod_vs_Healthy_clust_1,MX1,1,severe-mod,1,NK
1.59E-276,1.092751346,0.592,0.168,5.34E-272,severe-mod_vs_Healthy_clust_1,IFI6,1,severe-mod,1,NK
5.06E-275,0.951299422,0.695,0.249,1.70E-270,severe-mod_vs_Healthy_clust_1,XAF1,1,severe-mod,1,NK
1.40E-259,0.920505023,0.855,0.471,4.68E-255,severe-mod_vs_Healthy_clust_1,HIST1H1E,1,severe-mod,1,NK
9.39E-259,-0.670846083,0.858,0.953,3.15E-254,severe-mod_vs_Healthy_clust_1,RPL27A,1,severe-mod,1,NK
3.91E-227,-0.425783729,0.997,0.999,1.31E-222,severe-mod_vs_Healthy_clust_1,MT-ATP6,1,severe-mod,1,NK
1.06E-226,-0.504939827,0.991,0.999,3.54E-222,severe-mod_vs_Healthy_clust_1,MT-CYB,1,severe-mod,1,NK
1.08E-225,-0.478800814,0.976,0.991,3.61E-221,severe-mod_vs_Healthy_clust_1,RPL13A,1,severe-mod,1,NK
9.41E-223,-0.36070607,0.997,0.999,3.16E-218,severe-mod_vs_Healthy_clust_1,RPL10,1,severe-mod,1,NK
4.74E-212,0.659222107,0.442,0.1,1.59E-207,severe-mod_vs_Healthy_clust_1,EPSTI1,1,severe-mod,1,NK
5.33E-211,-0.495182528,0.981,0.994,1.79E-206,severe-mod_vs_Healthy_clust_1,MT-ND2,1,severe-mod,1,NK
4.12E-203,0.73813378,0.779,0.431,1.38E-198,severe-mod_vs_Healthy_clust_1,ALOX5AP,1,severe-mod,1,NK
3.83E-186,-0.333016508,0.987,0.998,1.28E-181,severe-mod_vs_Healthy_clust_1,RPS3A,1,severe-mod,1,NK
1.10E-185,-0.369059901,0.986,0.998,3.70E-181,severe-mod_vs_Healthy_clust_1,RPL3,1,severe-mod,1,NK
9.47E-185,0.749483158,0.649,0.276,3.18E-180,severe-mod_vs_Healthy_clust_1,HIST1H1C,1,severe-mod,1,NK
2.30E-181,0.541236974,0.974,0.943,7.73E-177,severe-mod_vs_Healthy_clust_1,GZMB,1,severe-mod,1,NK
5.26E-177,-0.349219481,0.985,0.994,1.77E-172,severe-mod_vs_Healthy_clust_1,RPL21,1,severe-mod,1,NK
8.01E-176,0.52409186,0.281,0.04,2.69E-171,severe-mod_vs_Healthy_clust_1,IFI44,1,severe-mod,1,NK
3.03E-174,-0.395064279,0.985,0.997,1.02E-169,severe-mod_vs_Healthy_clust_1,MT-ND1,1,severe-mod,1,NK
1.87E-170,0.358871155,0.997,0.999,6.26E-166,severe-mod_vs_Healthy_clust_1,HLA-C,1,severe-mod,1,NK
2.00E-163,-0.329445702,0.992,0.996,6.72E-159,severe-mod_vs_Healthy_clust_1,RPS14,1,severe-mod,1,NK
3.72E-162,0.628848089,0.496,0.166,1.25E-157,severe-mod_vs_Healthy_clust_1,EIF2AK2,1,severe-mod,1,NK
3.42E-161,0.509100107,0.311,0.059,1.15E-156,severe-mod_vs_Healthy_clust_1,OAS1,1,severe-mod,1,NK
2.83E-157,-0.370960947,0.992,0.998,9.51E-153,severe-mod_vs_Healthy_clust_1,MT-ND4,1,severe-mod,1,NK
7.69E-157,-0.292985249,0.995,0.999,2.58E-152,severe-mod_vs_Healthy_clust_1,RPS27,1,severe-mod,1,NK
1.15E-153,-0.350798012,0.986,0.992,3.85E-149,severe-mod_vs_Healthy_clust_1,RPS6,1,severe-mod,1,NK
1.27E-153,0.56798272,0.923,0.744,4.25E-149,severe-mod_vs_Healthy_clust_1,LY6E,1,severe-mod,1,NK
9.13E-149,-0.275103466,0.995,1,3.06E-144,severe-mod_vs_Healthy_clust_1,RPL13,1,severe-mod,1,NK
1.69E-148,-0.282651484,0.995,0.998,5.67E-144,severe-mod_vs_Healthy_clust_1,TPT1,1,severe-mod,1,NK
4.10E-146,0.706525823,0.618,0.279,1.37E-141,severe-mod_vs_Healthy_clust_1,IFITM1,1,severe-mod,1,NK
2.73E-143,0.582566647,0.445,0.147,9.15E-139,severe-mod_vs_Healthy_clust_1,IRF7,1,severe-mod,1,NK
2.35E-140,-0.455516958,0.875,0.924,7.90E-136,severe-mod_vs_Healthy_clust_1,RPS20,1,severe-mod,1,NK
8.12E-140,1.069146732,0.682,0.393,2.72E-135,severe-mod_vs_Healthy_clust_1,ISG15,1,severe-mod,1,NK
1.89E-139,0.593582605,0.649,0.314,6.32E-135,severe-mod_vs_Healthy_clust_1,CEMIP2,1,severe-mod,1,NK
6.24E-138,0.496452011,0.281,0.056,2.09E-133,severe-mod_vs_Healthy_clust_1,MX2,1,severe-mod,1,NK
4.64E-135,-0.314395737,0.995,0.999,1.56E-130,severe-mod_vs_Healthy_clust_1,MT-CO1,1,severe-mod,1,NK
6.07E-135,0.764581446,0.761,0.458,2.03E-130,severe-mod_vs_Healthy_clust_1,MT2A,1,severe-mod,1,NK
3.37E-133,-0.321437506,0.988,0.996,1.13E-128,severe-mod_vs_Healthy_clust_1,RPS18,1,severe-mod,1,NK
3.25E-130,0.637863795,0.772,0.489,1.09E-125,severe-mod_vs_Healthy_clust_1,ISG20,1,severe-mod,1,NK
2.06E-129,-0.305070474,0.987,0.996,6.92E-125,severe-mod_vs_Healthy_clust_1,RPL23A,1,severe-mod,1,NK
1.09E-127,0.786150458,0.427,0.155,3.67E-123,severe-mod_vs_Healthy_clust_1,AREG,1,severe-mod,1,NK
2.58E-124,0.528315974,0.401,0.13,8.67E-120,severe-mod_vs_Healthy_clust_1,HLA-DRB1,1,severe-mod,1,NK
1.02E-122,-0.395173527,0.904,0.943,3.42E-118,severe-mod_vs_Healthy_clust_1,RPL7,1,severe-mod,1,NK
2.99E-122,0.482653504,0.394,0.128,1.00E-117,severe-mod_vs_Healthy_clust_1,PDE4D,1,severe-mod,1,NK
1.46E-118,-0.518089026,0.666,0.815,4.91E-114,severe-mod_vs_Healthy_clust_1,GIMAP7,1,severe-mod,1,NK
2.81E-115,0.515146558,0.611,0.29,9.44E-111,severe-mod_vs_Healthy_clust_1,SYTL3,1,severe-mod,1,NK
1.52E-114,-0.391986992,0.901,0.946,5.09E-110,severe-mod_vs_Healthy_clust_1,RPL38,1,severe-mod,1,NK
7.29E-111,-0.295373177,0.975,0.99,2.44E-106,severe-mod_vs_Healthy_clust_1,RPL9,1,severe-mod,1,NK
4.57E-108,0.774773893,0.602,0.335,1.53E-103,severe-mod_vs_Healthy_clust_1,IL32,1,severe-mod,1,NK
1.43E-103,0.640112044,0.662,0.389,4.80E-99,severe-mod_vs_Healthy_clust_1,HIST1H1D,1,severe-mod,1,NK
2.30E-100,-0.266199553,0.985,0.997,7.71E-96,severe-mod_vs_Healthy_clust_1,RPLP2,1,severe-mod,1,NK
4.24E-99,-0.279286354,0.976,0.991,1.42E-94,severe-mod_vs_Healthy_clust_1,RPL37A,1,severe-mod,1,NK
1.81E-98,0.457350764,0.437,0.178,6.07E-94,severe-mod_vs_Healthy_clust_1,STAT1,1,severe-mod,1,NK
2.22E-97,-0.312325192,0.947,0.973,7.45E-93,severe-mod_vs_Healthy_clust_1,RPL27,1,severe-mod,1,NK
3.88E-96,0.422071059,0.363,0.129,1.30E-91,severe-mod_vs_Healthy_clust_1,TYMP,1,severe-mod,1,NK
6.70E-96,-0.326301304,0.942,0.96,2.25E-91,severe-mod_vs_Healthy_clust_1,RPS11,1,severe-mod,1,NK
2.07E-95,0.513373296,0.348,0.124,6.94E-91,severe-mod_vs_Healthy_clust_1,LAIR2,1,severe-mod,1,NK
2.62E-95,0.361035252,0.975,0.959,8.78E-91,severe-mod_vs_Healthy_clust_1,PRF1,1,severe-mod,1,NK
5.53E-95,0.476144364,0.482,0.217,1.85E-90,severe-mod_vs_Healthy_clust_1,SAMD9L,1,severe-mod,1,NK
1.84E-93,0.531771963,0.555,0.28,6.17E-89,severe-mod_vs_Healthy_clust_1,XIST,1,severe-mod,1,NK
2.66E-93,0.449540717,0.353,0.127,8.93E-89,severe-mod_vs_Healthy_clust_1,PLSCR1,1,severe-mod,1,NK
2.60E-91,0.447288914,0.608,0.328,8.72E-87,severe-mod_vs_Healthy_clust_1,HLA-DPA1,1,severe-mod,1,NK
8.81E-91,-0.452542205,0.801,0.884,2.95E-86,severe-mod_vs_Healthy_clust_1,KLRB1,1,severe-mod,1,NK
3.73E-90,-0.348887825,0.894,0.932,1.25E-85,severe-mod_vs_Healthy_clust_1,EEF1B2,1,severe-mod,1,NK
4.12E-90,-0.297562931,0.978,0.994,1.38E-85,severe-mod_vs_Healthy_clust_1,MT-ND5,1,severe-mod,1,NK
1.35E-89,0.364408126,0.952,0.873,4.54E-85,severe-mod_vs_Healthy_clust_1,GAPDH,1,severe-mod,1,NK
1.37E-87,0.464690395,0.665,0.375,4.60E-83,severe-mod_vs_Healthy_clust_1,PIK3R1,1,severe-mod,1,NK
3.90E-87,0.364959121,0.276,0.084,1.31E-82,severe-mod_vs_Healthy_clust_1,OAS2,1,severe-mod,1,NK
3.90E-86,0.447767556,0.386,0.156,1.31E-81,severe-mod_vs_Healthy_clust_1,ATG2A,1,severe-mod,1,NK
8.47E-86,0.378827176,0.901,0.734,2.84E-81,severe-mod_vs_Healthy_clust_1,RNF213,1,severe-mod,1,NK
3.09E-85,0.612490351,0.781,0.58,1.04E-80,severe-mod_vs_Healthy_clust_1,LGALS1,1,severe-mod,1,NK
8.24E-84,0.359406145,0.335,0.121,2.76E-79,severe-mod_vs_Healthy_clust_1,PARP9,1,severe-mod,1,NK
1.30E-81,0.414628233,0.66,0.382,4.36E-77,severe-mod_vs_Healthy_clust_1,SMCHD1,1,severe-mod,1,NK
1.35E-81,0.520068759,0.479,0.236,4.52E-77,severe-mod_vs_Healthy_clust_1,KLRC1,1,severe-mod,1,NK
3.66E-81,0.430758939,0.74,0.484,1.23E-76,severe-mod_vs_Healthy_clust_1,SP100,1,severe-mod,1,NK
1.02E-80,0.322987257,0.964,0.939,3.43E-76,severe-mod_vs_Healthy_clust_1,CTSW,1,severe-mod,1,NK
1.73E-80,0.377983832,0.393,0.162,5.80E-76,severe-mod_vs_Healthy_clust_1,IRF9,1,severe-mod,1,NK
1.33E-79,-0.525759634,0.62,0.763,4.47E-75,severe-mod_vs_Healthy_clust_1,CD52,1,severe-mod,1,NK
9.46E-79,0.411621527,0.812,0.592,3.17E-74,severe-mod_vs_Healthy_clust_1,BST2,1,severe-mod,1,NK
1.38E-77,0.411811979,0.587,0.316,4.61E-73,severe-mod_vs_Healthy_clust_1,ADAR,1,severe-mod,1,NK
4.04E-76,-0.254072984,0.971,0.985,1.35E-71,severe-mod_vs_Healthy_clust_1,RPS9,1,severe-mod,1,NK
7.01E-74,0.359527019,0.349,0.141,2.35E-69,severe-mod_vs_Healthy_clust_1,PRKX,1,severe-mod,1,NK
1.04E-72,0.692818972,0.407,0.204,3.50E-68,severe-mod_vs_Healthy_clust_1,MTRNR2L8,1,severe-mod,1,NK
4.63E-72,0.322370318,0.27,0.092,1.55E-67,severe-mod_vs_Healthy_clust_1,LGALS9,1,severe-mod,1,NK
2.38E-71,0.330547233,0.292,0.106,8.00E-67,severe-mod_vs_Healthy_clust_1,SLA2,1,severe-mod,1,NK
3.50E-67,0.258124929,0.996,0.988,1.17E-62,severe-mod_vs_Healthy_clust_1,GNLY,1,severe-mod,1,NK
1.55E-66,0.358863349,0.828,0.637,5.19E-62,severe-mod_vs_Healthy_clust_1,ETS1,1,severe-mod,1,NK
8.84E-66,0.368461344,0.524,0.28,2.97E-61,severe-mod_vs_Healthy_clust_1,SH2D2A,1,severe-mod,1,NK
8.87E-66,0.559724126,0.622,0.409,2.97E-61,severe-mod_vs_Healthy_clust_1,H1FX,1,severe-mod,1,NK
4.18E-65,0.375688357,0.503,0.269,1.40E-60,severe-mod_vs_Healthy_clust_1,CD38,1,severe-mod,1,NK
7.99E-65,0.875210998,0.342,0.173,2.68E-60,severe-mod_vs_Healthy_clust_1,MYOM2,1,severe-mod,1,NK
1.34E-64,0.353484284,0.834,0.658,4.49E-60,severe-mod_vs_Healthy_clust_1,PSME2,1,severe-mod,1,NK
4.62E-64,0.429086795,0.69,0.459,1.55E-59,severe-mod_vs_Healthy_clust_1,CD74,1,severe-mod,1,NK
1.03E-63,0.271291984,0.958,0.901,3.47E-59,severe-mod_vs_Healthy_clust_1,IFITM2,1,severe-mod,1,NK
6.91E-63,0.323163105,0.373,0.165,2.32E-58,severe-mod_vs_Healthy_clust_1,SEC14L1,1,severe-mod,1,NK
2.42E-62,0.360068575,0.607,0.357,8.10E-58,severe-mod_vs_Healthy_clust_1,ITGA4,1,severe-mod,1,NK
5.99E-62,-0.377296691,0.565,0.719,2.01E-57,severe-mod_vs_Healthy_clust_1,FOSB,1,severe-mod,1,NK
1.26E-61,0.285040533,0.285,0.11,4.22E-57,severe-mod_vs_Healthy_clust_1,CD79B,1,severe-mod,1,NK
1.38E-60,0.307131757,0.429,0.208,4.61E-56,severe-mod_vs_Healthy_clust_1,TCIRG1,1,severe-mod,1,NK
1.38E-60,0.331305578,0.558,0.312,4.63E-56,severe-mod_vs_Healthy_clust_1,SP110,1,severe-mod,1,NK
1.12E-59,0.341113856,0.351,0.154,3.77E-55,severe-mod_vs_Healthy_clust_1,CREM,1,severe-mod,1,NK
3.01E-57,0.34458006,0.562,0.322,1.01E-52,severe-mod_vs_Healthy_clust_1,TRIM22,1,severe-mod,1,NK
8.22E-57,0.264774414,0.253,0.094,2.76E-52,severe-mod_vs_Healthy_clust_1,MIR4435-2HG,1,severe-mod,1,NK
1.33E-56,0.371236032,0.601,0.367,4.45E-52,severe-mod_vs_Healthy_clust_1,SAMD9,1,severe-mod,1,NK
4.10E-56,0.317146726,0.631,0.394,1.38E-51,severe-mod_vs_Healthy_clust_1,HLA-DPB1,1,severe-mod,1,NK
4.22E-56,0.385390056,0.511,0.292,1.42E-51,severe-mod_vs_Healthy_clust_1,MAP3K8,1,severe-mod,1,NK
1.60E-55,0.29712872,0.381,0.181,5.36E-51,severe-mod_vs_Healthy_clust_1,ZBP1,1,severe-mod,1,NK
1.10E-54,-0.523982222,0.226,0.422,3.69E-50,severe-mod_vs_Healthy_clust_1,RPS4Y1,1,severe-mod,1,NK
5.11E-54,0.32285741,0.729,0.502,1.71E-49,severe-mod_vs_Healthy_clust_1,PRPF4B,1,severe-mod,1,NK
8.80E-54,0.278054054,0.446,0.226,2.95E-49,severe-mod_vs_Healthy_clust_1,FBXO7,1,severe-mod,1,NK
2.33E-53,0.294370717,0.443,0.228,7.81E-49,severe-mod_vs_Healthy_clust_1,PSMB10,1,severe-mod,1,NK
2.35E-53,-0.288415082,0.825,0.861,7.88E-49,severe-mod_vs_Healthy_clust_1,TOMM7,1,severe-mod,1,NK
2.12E-51,0.285724433,0.577,0.335,7.11E-47,severe-mod_vs_Healthy_clust_1,CAPN2,1,severe-mod,1,NK
4.14E-51,0.309524507,0.599,0.361,1.39E-46,severe-mod_vs_Healthy_clust_1,USP15,1,severe-mod,1,NK
1.27E-50,0.297523688,0.451,0.238,4.25E-46,severe-mod_vs_Healthy_clust_1,SYAP1,1,severe-mod,1,NK
1.98E-50,0.362440011,0.82,0.667,6.65E-46,severe-mod_vs_Healthy_clust_1,SYNE2,1,severe-mod,1,NK
1.63E-48,0.317220254,0.415,0.221,5.47E-44,severe-mod_vs_Healthy_clust_1,IFI35,1,severe-mod,1,NK
2.07E-48,0.33533643,0.99,0.982,6.95E-44,severe-mod_vs_Healthy_clust_1,TXNIP,1,severe-mod,1,NK
8.44E-48,0.323840753,0.78,0.573,2.83E-43,severe-mod_vs_Healthy_clust_1,UTRN,1,severe-mod,1,NK
2.56E-47,0.330910826,0.802,0.624,8.59E-43,severe-mod_vs_Healthy_clust_1,FLNA,1,severe-mod,1,NK
1.70E-46,0.255428402,0.872,0.711,5.70E-42,severe-mod_vs_Healthy_clust_1,HNRNPU,1,severe-mod,1,NK
2.97E-46,0.275111099,0.847,0.705,9.95E-42,severe-mod_vs_Healthy_clust_1,S100A10,1,severe-mod,1,NK
6.51E-46,0.309999131,0.539,0.326,2.18E-41,severe-mod_vs_Healthy_clust_1,RAB5IF,1,severe-mod,1,NK
5.60E-45,-0.609814846,0.235,0.409,1.88E-40,severe-mod_vs_Healthy_clust_1,PTGDS,1,severe-mod,1,NK
