p_val,avg_logFC,Severe/Mod (pct cell expr),Healthy (pct cells expr),p_val_adj,comp,gene,clust,pt,seurat_clusters,final
1.30E-09,0.485763774,0.897,0.656,4.35E-05,severe-mod_vs_Healthy_clust_11,1-Mar,11,severe-mod,11,C MONO_IFN
1.37E-09,0.488181715,0.736,0.344,4.59E-05,severe-mod_vs_Healthy_clust_11,DDX60L,11,severe-mod,11,C MONO_IFN
1.43E-09,0.469282712,0.927,0.689,4.79E-05,severe-mod_vs_Healthy_clust_11,CD164,11,severe-mod,11,C MONO_IFN
1.53E-09,-0.68462501,0.74,0.852,5.13E-05,severe-mod_vs_Healthy_clust_11,RAB32,11,severe-mod,11,C MONO_IFN
1.61E-09,-0.270121729,0.996,0.984,5.41E-05,severe-mod_vs_Healthy_clust_11,RPL19,11,severe-mod,11,C MONO_IFN
1.77E-09,0.44850551,0.682,0.295,5.93E-05,severe-mod_vs_Healthy_clust_11,SDHD,11,severe-mod,11,C MONO_IFN
1.87E-09,-0.652027919,0.337,0.607,6.26E-05,severe-mod_vs_Healthy_clust_11,SNN,11,severe-mod,11,C MONO_IFN
1.87E-09,-0.30629496,0.119,0.361,6.29E-05,severe-mod_vs_Healthy_clust_11,RPA1,11,severe-mod,11,C MONO_IFN
1.90E-09,-0.303470916,0.097,0.328,6.38E-05,severe-mod_vs_Healthy_clust_11,HSPA6,11,severe-mod,11,C MONO_IFN
2.20E-09,-0.38925481,0.107,0.344,7.39E-05,severe-mod_vs_Healthy_clust_11,C12orf75,11,severe-mod,11,C MONO_IFN
2.23E-09,-0.361585243,0.998,0.984,7.49E-05,severe-mod_vs_Healthy_clust_11,EEF1A1,11,severe-mod,11,C MONO_IFN
2.33E-09,0.53820538,0.854,0.557,7.81E-05,severe-mod_vs_Healthy_clust_11,NAIP,11,severe-mod,11,C MONO_IFN
2.34E-09,0.41173347,0.517,0.115,7.85E-05,severe-mod_vs_Healthy_clust_11,TTC39C,11,severe-mod,11,C MONO_IFN
2.45E-09,0.486093002,0.638,0.262,8.20E-05,severe-mod_vs_Healthy_clust_11,LARP7,11,severe-mod,11,C MONO_IFN
2.47E-09,0.429928824,0.571,0.131,8.29E-05,severe-mod_vs_Healthy_clust_11,DDX58,11,severe-mod,11,C MONO_IFN
2.47E-09,0.525241791,0.914,0.754,8.29E-05,severe-mod_vs_Healthy_clust_11,PPIB,11,severe-mod,11,C MONO_IFN
2.53E-09,0.559871305,0.963,0.885,8.49E-05,severe-mod_vs_Healthy_clust_11,AC020656.1,11,severe-mod,11,C MONO_IFN
4.00E-09,0.500969367,0.721,0.361,0.000134034,severe-mod_vs_Healthy_clust_11,CNIH4,11,severe-mod,11,C MONO_IFN
4.07E-09,-0.306062574,0.988,0.967,0.000136488,severe-mod_vs_Healthy_clust_11,RPS11,11,severe-mod,11,C MONO_IFN
